Fork;Navn;Strekninger
249;H-sign 249;5
283;HS 283;3
413;H-sign 4103;8
431;H-sign 4301;8
461;H-sign 4601;8
635;H-sign 1635;99
958;HS 985;3
ÅBO;Åbogen;1
ÅBY;Åneby;5
ÅDL;Ådalsruk;13
ADL;Arendal;22
AGL;Agle;14
AKE;Aker;9,9c
ALA;Alna;9
ÅL;Ål;7
ALB;Alnabru;5c,9b,9c,9d,9e
ÅLN;Ålen;13
ALV;Alvdal;13
ÅMO;Åmot;20
ÅND;Åndalsnes;12
ARN;Arna;7
ÅRN;Årnes;1
ARS;Alfr. Andersen Mek. Verksted Og;21
ART;Arteid Bp;99
ARV;Arvika;1
ÅSA;Åstaddalen Bp.A;8
ÅS;Ås;3
ÅSE;Åsen;14
ASE;Asper;9
ASM;Askim;4
ASP;Aspedammen;3
ASR;Asker;8,8b
ASS;Auma s.sp;13
ATN;Atna;13
AUD;Audnedal;19
AUL;Auli;1
AUM;Auma;13
AUS;Austvoll Bp;7
AVI;Akersvika Bp;10
BÅK;Berkåk;11
BAL;Ballerus Bp A;8
BÅR;Barkåker;21
BÅS;Bråstad;22
BEG;Bergsgrav;14
BEK;Bekkelaget;3,4
BER;Brekvam;6
BFS;Braskereidfoss;2
BG;Berg;3
BGG;Bergseng;10
BGH;Bergheim;7
BGN;Boganes;19
BJE;Bjerka;15
BJF;Bjørnfjell;16
BJO;Bjorli;12
BJS;Bjørnstad Bp;3
BKH;Bekkedalshøgda;99
BKK;Brekka Bp;10
BLA;Blaksrad;22
BLE;Bleiken;5
BLH;Blomheller;6
BLK;Blaker;1
BLO;Blommenholm;8b
BMO;Bellingmo;13
BOA;Bolna;15
BØ;Bø;17,18
BO;Bodø;15
BOD;Bodung;1
BOL;Bolstadøyri;7
BØN;Bøn;9
BON;Bondivann;8b
BOS;Borgestad;21
BØY;Bøylestad;22
BRA;Brakerøya;8
BRB;Brobekk;9,9d
BR;Bryn;9,9e
BRD;Brumunddal;10
BRE;Brevik s.sp.;21c
BRG;Bergen;7
BRH;Brennhaug;10
BRL;Breland;19
BRS;Brusand;19
BRT;Lillestrøm N;9
BRY;Bryne;19
BSR;Bjørgeseter;5
BST;Billingstad;8b
BUL;Bulken;7
BUM;Brøttum;10
BVK;Bergsvika;10
BVO;Bjørkevoll;19
BVS;Brandval Sag s.sp;2
CG;Charlottenberg;1
DAL;Dal;9
DAR;Darbu;17
DAV;Dalsvatn;21
DIL;Dilling;3
DIS;Disenå;1
DJU;Djupvik;16
DL;Dale;7
DLR;Daler;17
DNE;Dalane;18
DNM;Dønnum Bp;9
DOK;Dokka;5d
DOM;Dombås;10,11,12
DOV;Dovre;10
DRD;Drangedal;17,18
DRI;Driva Bp;11
DRM;Drammen;8,17,21
DRS;Drivstua;11
DRU;Dallerud Bp;10
DSU;Drolsum;20
DUN;Dunderland;15
DVT;Drevvatn;15
EBE;Røstad;14
EBG;Eidsberg;4
ED;Ed;3
EGS;Egersund;19
EIN;Eina;5,5d
EIT;Eiterstraum;15
EKØ;Eikonrød Bp;21
ELI;Elisenberg Bp.A;3,4,5,9
ELN;Elnes;5
ELV;Elverum;2,13
ENG;Enger Bp;99
EPA;Espa;10
ERU;Eriksrud;8
EVE;Evenstad;13
EVG;Evanger;7
EVL;Eidsvoll;9,10,99
EVV;Eidsvoll Verk;99
FÅB;Fåberg;10
FAU;Fauske;15
FÅV;Fåvang;10
FBS;Fåberg Omformerstasjons s.sp;10
FET;Fetsund;1
FGH;Fagerhaug;11
FGL;Fagerlia Bp;16
FGN;Fagernut;7
FHM;Fjellhamar Bp.;9
FID;Fidjetun;18
FIL;Filipstad;8c
FIN;Finse;7
FJE;Fjellhamar;9
FJR;Fjellsrud Bp.;1,99
FLÅ;Flå;7
FLA;Flaten;22
FLI;Flisa;2
FM;Flåm;6
FMS;Formofoss s.sp;14
FOK;Fokstua;11
FOL;Follvell Bp;1
FRE;Fredrikstad;3
FRL;Froland;22
FRN;Fron;10
FRO;Frogner;9
FRY;Frya Bp;10
FUB;Furutberget Bp;10
FUS;Forus Bp. A;19
GAB;Galleberg;21
