BEZEICHNUNG_OFFIZIELL;Abkuerzung
UNO Linie 133, km 6.1;133061
UNO Linie 133, km 6.2;133062
UNO Linie 100, km 86.6;133866
UNO Linie 191, km 140;191140
UNO Linie 200, km 21.15;200021
UNO Linie 225, km 58.45;225058
UNO Linie 225, km 75.9;225075
UNO Linie 230, km 87.4;230087
UNO Linie 238, km 7;238007
UNO Linie 251, km 32.6;251032
UNO Linie 252, km.13.7;252013
UNO Linie 254, km 2.3;254002
UNO Linie 254, km 13.47;254013
UNO Linie 254, km 14.76;254014
UNO Linie 254, km 16.7;254016
UNO Linie 255, km 7.3;255007
UNO Linie 255, km 8.3;255008
UNO Linie 255, km 18.3;255018
UNO Linie 255, km 19.3;255019
UNO Linie 320, km 23.72;320023
UNO Linie 330, km 10.6;330010
UNO Linie 330, km 11.26;330011
UNO Linie 331, km 49.53;331049
UNO Linie 400, km 11.8;400011
UNO Linie 400, km 12.59;400012
UNO LInie 400, km 54.47;400054
UNO Linie 415, km 78.76;415078
UNO Linie 430, km 10.4;430010
UNO Linie 430, km 13.6;430013
UNO Linie 441, km 13.3;441013
UNO Linie 442, km 8.5;442008
UNO Linie 442, km 17.6;442017
UNO Linie 445, km 1.8;445001
UNO-Linie 445, km 21.9;445021
UNO Linie 470, km 27.51;470027
UNO Linie 470, km 29.44;470029
UNO Linie 470, km 37.59;470037
UNO Linie 470, km 38.76;470038
UNO Linie 470, km 44.13;470044
UNO Linie 480, km 18.86;480018
UNO Linie 480, km 22.99;480022
UNO Linie 480, km 23.70;480023
UNO Linie 600, km 21.510;600021
UNO Linie 600, km 40.445;600040
UNO Linie 600, km 110.2;600110
UNO Linie 600, km 123.0;600123
UNO Linie 600, km 127.473;600127
UNO Linie 600, km 131.016;600131
UNO Linie 600, km 133.179;600133
UNO Linie 600, km 146.837;600146
UNO Linie 600, km 152.228;600152
UNO-Linie 600, km 157.508;600157
UNO Linie 600, km 167.2;600167
UNO Linie 600, km 177.700;600177
UNO Linie 630, km 156.120;630156
UNO Linie 630, km 157.692;630157
UNO Linie 630, km 158.6;630158
UNO Linie 670, km 10.1;670010
UNO Linie 670, km 150;670150
UNO Linie 672, km 6.8;672006
UNO Linie 672, km 11.7;672117
UNO Linie 673, km 19.7;673019
UNO Linie 673, km 21.3;673021
UNO Linie 673, km 27,5;673027
UNO Linie 673, km 28.1;673028
UNO Linie 673, km 28,5;673029
UNO Linie 673, km 32.4;673032
UNO Linie 673, km 37.5;673037
UNO Linie 701, km 55.6;701055
UNO Linie 822, km 59.0;822059
Aarau;AA
Aarau Aussenstelle 1;AA1
Aarau mobile Equipe;AA56
Aarau 95;AA95
Aarau 96;AA96
Aarau 97;AA97
Aarau 98;AA98
Aarau/Suhr (Abzw);AAAS
Aachen West mobile Equipe;AACW56
Aarau GB;AAGB
Aarauer Stadttunnel;AANT
Aarau Ost (Abzw);AAO
Aarwangen Hard;AARH
Aarwangen Schloss;AARS
Aarwangen Vorstadt;AARV
Aarwangen;AARW
Aathal;AAT
Aarau-Torfeld;AATO
Aathaltunnel;AATT
Aathal Unterwerk (NOK);AATU
Aarau AVA;AAWS
Ausserberg;AB
Abtwil SG, Ausserdorf;ABAU
Abtwil SG, Dorf;ABDO
Aarberg;ABE
Aarberg mobile Equipe;ABE56
L'Aberieu (Wasserfassung);ABEU
Abtwil SG, Grund;ABGR
Abtwil SG, Hüslenweg;ABHW
Arniberg Kraftwerk (EWA);ABKW
Aarburg-Oftringen;ABO
Aarburg-Oftringen (Abzw);ABOA
Aarburg-Oftringen Längacker;ABOL
Aarburg-Oftringen Süd (Abzw);ABOS
Aarburgertunnel;ABOT
Aarburg-Oftringen West (Abzw);ABOW
Abtwil SG, Sonnenhof;ABSH
Abtwil SG, St. Josefen;ABSJ
Abtwil SG, Säntispark;ABSP
Abtwil SG, Wiesenbach/Cinedome;ABWB
Aarberg Zuckerfabrik;ABZF
Abtwil SG, Zentrumpark;ABZP
Ackersand;ACK
Ackersand Süd;ACKS
Acla da Fontauna;ACLA
Aadorf;AD
Adelboden Dorfstrasse 4;ADDE
Adelboden, Post;ADE
Alpnach Dorf;ADF
Alpnach Dorf ZB;ADFZ01
Adelrain (Abzw);ADL
Allschwil, Dorf (Wds);ADOW
Adler Tunnel MU-LST;ADTU
Adliswil;ADW
Ardez;ADZ
Aesch;AE
Aeschau, Dorf;AEBR
Aeschi SO, Dorf;AEDO
Aefligen;AEF
Aeschau, Gärtnerei;AEGA
Aegerten (NBS);AEGE
Aefligen, Gemeindehaus;AEGH
Wynau Aegertentunnel Ost RL18;AEGO
Aegerten Tunnel NBS;AEGT
Aegerten West RL 17;AEGW
Aeschau, Horben Schulhaus;AEHH
Aeschau, Horben Schmiede;AEHS
Aeschi SO, Kirche;AEKI
Aemsigen;AEM
Aeschi SO, Ost;AEOS
Aeschi SO Oenzbergtunnel West;AEOW
Aeschau, Säge;AESA
Aesch BL, Dorf;AESH
Aespli;AESP
Affoltern am Albis;AF
Affoltern i.E., Bannholz;AFBA
Acla da Fontauna, center sport;AFCS
Affoltern i.E., Dorf;AFDO
Affeltrangen, Dorf;AFME
Affoltern-Weier, Bahnhof;AFWB
Affoltern-Weier;AFWE
Agarn, Dorf;AGA
Agarn, Abzw. St. Josefheim;AGAJ
Arth-Goldau, Bahnhof;AGBF
Aigle-Parc Aventure;AGHO
Monthey Agip (embr);AGIP
Agno;AGNO
Adliswil, Grundstrasse;AGRU
Altishausen;AHAU
Airolo;AI
Airolo squadra mobile;AI56
Airolo 95;AI95
Airolo 96;AI96
Airolo 97;AI97
Airolo 98;AI98
Aigle;AIG
Aigle 94;AIG94
Aigle 95;AIG95
Aigle 96;AIG96
Aigle 97;AIG97
Aigle 98;AIG98
Aigle-Dépôt;AIGD
Aigle-Hôpital;AIGH
Aigle-Place-du-Marché;AIGM
Aigle-Château;AIGT
Aigle [voie 11-16];AIGX
Aigle, La Mêlée;AILM
Aigle-Place-du-Marché (DIAB);AIPM
Airolo Sottocentrale (AET);AISC
Airolo Schaltposten;AISN
Alt St. Johann, Dorf;AJPO
Altmarkt;AKT
Altdorf;AL
Altdorf UR mobile Equipe;AL56
Albeuve;ALBE
Altdorf UR, Bahnhof;ALBF
Alvaschein Blockstelle;ALBL
Albistunnel Nord;ALBN
Alchenflüh, Bernstrasse Ost;ALBO
Albistunnel Südportal;ALBS
Albistunnel Mitte;ALBT
Luzern Allmend/Messe;ALD
Altstätten SG, Depot;ALDE
Alchenstorf, Dorf;ALDO
Allmend Tunnel Portal Süd;ALDS
Allmend Tunnel;ALDT
Allmend;ALDW
Altstätten SG, Fleuben;ALFL
Algetshausen-Henau;ALG
Alp Grüm;ALGR
Altbüron, Hiltbrunnen;ALHI
Allaman;ALL
Allaman équipe mobile;ALL56
