Abk;Name
Aa G;Grenze ÖBB-WLB im km 7,610
Aa;W.Mat.-Altmannsdorf (in Wbf)
Aa Z9;Wr. Neudorf
Ab;Aschbach
Abf A1;AB (Awanst)
Abf;Abfaltersbach
Abf K1;Mittewald a.d.Drau
Ab S11;Sbl Ab 1
Ab S12;Sbl Ab 1
Ab S21;Sbl Ab 2
Ab S22;Sbl Ab 2
Abz;Maxing
Ach;Achau
Ach S11;Sbl Ach 1
Ach S12;Sbl Ach 1
Ach S21;Sbl Ach 2
Ach S22;Sbl Ach 2
Ad;Admont
Af;Andorf
Af S11;Sbl Af 1
Af S12;Sbl Af 1
Ag;Angern
Ag H1;Stillfried
Ah A1;AB
Ah;Absdorf-Hippersdorf (in Ah)
Ah H1;Hst außer Betrieb
Ah H1K;Hst außer Betrieb
Ah H2;Hst außer Betrieb
Aho;Absdorf-Hippersdorf Ost (in Ah)
Ah S11;Sbl Ah 1
Ah S12;Sbl Ah 1
Ahs;Absdorf-Hippersdorf Süd (in Ah)
Ai;Aigen-Schlägl
Aj H1;Salzburg Süd
Aj H2;Elsbethen
Aj H3A;Puch Urstein
Aj H4;Puch bei Hallein
Aj H5;Oberalm
Aj S11;Sbl Aj 1
Aj S12;Sbl Aj 1
Aj S21;Sbl Aj 2
Aj S22;Sbl Aj 2
Aj S61;Sbl Aj 6
Aj S62;Sbl Aj 6
Aj S71;Sbl Aj 7
Aj S72;Sbl Aj 7
Aj;Salzburg Aigen
Aj U5;Üst Aj 5
Ak;Aurachkirchen
Ak H1;Wankham
Alb;Wien Albern Hafen (in Kls)
All;Allentsteig
Alp A1;AB
Alp;Altpinkafeld
Alp H1;Riedlingsdorf
Als;Wien Albern Süd (in Kls)
Alt;Alt Nagelberg
Alt L1;Brand Lst (Awanst)
Alu;AB Aluminiumwerk
Amo A2A;AB Naturwärme Montafon
Amo A2;AB Rodund
Amo H1;Vandans
Amo H2;Kaltenbrunnen
Amo K1;Tschagguns H-Lst
Amo S11;Sbl Amo1
Amo S12;Sbl Amo1
Amo;St. Anton im Montafon
Ams A1;AB (Awanst)
Ams A2;AB (Awanst)
Ams A3;AB (Awanst)
Ams;Amstetten (in Ams)
Ams H1;Mauer-Öhling
Ams H1U;Greinsfurth
Ams H2;Aschbach Haltestelle
Ams H3;Krenstetten-Biberbach
Ams S11;Sbl Ams 1
Ams S12;Sbl Ams 1
Ams S31;Sbl Ams 3
Ams S32;Sbl Ams 3
Ams S81;Sbl Ams 12
Ams S82;Sbl Ams 12
Ams S83;Sbl Ams 13
Ams S84;Sbl Ams 13
Ams S85;Sbl Ams 15
Ams S86;Sbl Ams 15
Ams S87;Sbl Ams 16
Ams S88;Sbl Ams 16
Ams U14;Üst Ams 14
Ams U2;Üst Ams 2
