Abréviation;Définition
AAA;Allassac
AA;Aire sur l'Adour
AAB;Aubigny au Bac
AAE;Aix la Marsalouse
AAG;Arnage
AAI;Ambronay Priay
AAJ;Arpajon sur Cere
A;Angouleme
AAO;Aulnois sous Laon
AAU;Aumont Aubrac
AAV;Aarau (Suisse)
AAY;Avenay
ABA;Aubazine St Hilaire
AB;Aulnay sous Bois
ABB;Abbeville
ABE;Auboueg
ABG;Aubigne Racang
ABI;Aubigny en Artois
ABJ;L Abbaye
ABL;Ablon
ABN;Albens
ABS;La Chapelle d'Ambes
ABT;Abancourt
ABY;Aubigny sur Nere
ABZ;Amabazac
ACA;Arc et Senans
AC;Aurillac
ACC;Accous
ACE;Ancerville Gue
ACF;Ancy le Franc
ACH;Acheres
ACO;Ancona
ACR;Auersmacher
ACT;Achiet
ACU;Arcy sur Cure
ACW;Acheres Ville
ACY;Annecy
AD;Avord
ADQ;Audruicq
ADR;Audrieu
ADY;Andilly
AE;Annemasse
AEB;Aiguebelle
AEC;Aurec
AEE;Asnieres sur Seine
AEH;Aubergenville Elisabethville
AEN;Allenc
AEO;Aix en othe Villemaur
AER;Assierg
AET;Allee de la Tour Rendez Vous
AF;Avignon Fret
AFR;Acheux Franleu
AFT;Avignon Fontcouverte
AGA;Agonac
AGB;Aigueblanche
AGC;Argenton sur Creuse
AGD;Agde
AGE;Aigueperse
AGI;Argentiere
AGL;Aigle
AGN;Aime la Plagne
AGO;Argagnon
AGV;Angerville
AGY;Augny
AH;Auch
AHC;Antheor Cap Roux
AHH;Auchy les Hesdin
AHM;Avenue Henri Martin
AIA;Aimargues
AI;Aillevillers
AIE;Auterive
AIF;Aiffres
AIG;Aigurande
AIM;Aigues Mortes
AIN;Aiguillon
AIR;Airvault
AIT;Aubiet
AIV;Aigues Vives
AIX;Aix les Bains le Revard
AIY;Aisy
AL;Albi Ville
ALB;Albert
ALC;La Courneuve-Aubervilliers
ALE;Ales
ALK;Altkirch
ALL;Allan TGV
ALM;Albi Madeleineg
ALN;Alencon
ALO;Allones Boisville
ALR;Audun Le Roman
ALS;Albias
ALU;Allan d Huy
ALV;Albertville
AMA;Amagne Lucquy
AM;Amboise
AMB;Amberieu
AME;Angers Maitre Ecole
AMF;Amifontaineg
AML;Aiguille Malebarge km 19,6
AMP;Amplepuis
AMS;Amsterdam
ANA;Avigliana
AN;Agen
ANB;Aiton
ANC;Ancenis
AND;Andelot (Jura)
ANF;Anglefort
ANG;Anagni
ANI;Aniche
ANL;Andelot hte Marne
ANN;Antoing
ANO;Anor
ANP;Annappes
ANS;Anse
ANV;Anvin
ANW;Anvers
ANZ;Andrezieux
AO;Aubusson
AOI;Arbois
AOL;Arlon
AON;Avion
AOS;Alost
AOT;Annot
AOU;Arrou
API;Anizy Pinon
APK;Avenue prt Kennedy
APM;Aix en Provence Marchandises
APP;Appilly
APW;Appenweier
ARA;Aramon
AR;Argentan
ARC;Arcachon
ARD;Ardentes
ARG;Argenteuil Triage
ARH;Arches
ARI;Aubrives
ARL;Arlanc
ARM;Armentieres
ARN;Arneke
ARO;Arengosse
ARP;Arpajon (Essonne)
ARQ;Arques Pas De Calais
ARR;Arras
ARS;Arles
ART;Artonges
ARU;Arudy
ARV;Arvant
ARW;Argenteuil BV
ARX;Arleux
ARY;Arcay
ARZ;Arzviller
ASA;Arcis sur Aube
AS;Amiens
ASD;Alessandria
ASH;Aspres sur Buech
ASI;Aiserey
ASL;Angers Saint Laud
ASM;Ars sur Moselle
ASN;Ailly sur Noye
ASR;Asnieres les Bourges
ASV;Aixe sur Vienne
ASW;Argeles sur Mer
ATA;Autrey les Gray
ATB;Antibes
ATG;Attigny Ardennes
ATH;Athis Mons
ATI;Artix
ATS;Athus (SNCB)
ATT;Attin
ATY;Artenay (LOIRET)
AU;Autun
AUB;Aubagne
AUE;Aubenton
AUF;Auffay
AUM;Aumale
AUN;Auneau
AUS;Aguessac
AUT;Autet
AUU;Auber
AUW;Auvers sur Oise
AUX;Auxerre St Gervais
AUZ;Auzances
AVA;Avallon
AV;Avignon
AVF;Avenue Foch
AVG;Avrigny
AVI;Avoise
AVN;Avesnes
AVO;Avoudrey
AVR;Avranches
AVS;Avesnelles
AVV;Avignon TGV
AXA;Axat
AX;Ax Les Thermes
AXJ;Auxy Juranville
AXO;Auxonne
AXP;Aix en Provence
AXV;Aix en Provence TGV
AYA;Ayron Latille
AY;Auray
AYE;Aulnoye - Aymeries
AYM;Ancy sur Moselle
AYN;Ay
AYR;Aytre
AYS;Ailly sur Somme
AYT;Aunay Treon
AZB;Arzembouy
AZC;Anglars Nozac
AZE;Azerailles
AZR;Azay le Rideau
AZ;Saze TGV
BAA;Banassac la Canourgue
BAB;Bons en Chablais
BAC;Baccarat
BAD;Badan
BAG;Bagnac
BAH;Brumath
BAI;Baisieux
BAJ;Bale St Jean
BAK;Bouchain
BAL;Bale
BAM;Le Blanc Mesnil
BAP;Bailleau Le Pin
BAQ;Baraqueville Carcenac P.
BAR;Barcelone
BAS;Bassens
BAU;Baud
BAX;Boisseaux
BAY;Bayeux
BAZ;Baziege
B;Barr
BB;Blangy Sur Bresle
BBC;Barberay St Sulpice
BBD;Bordeaux Bastide
BBF;Boussay La Bruffiere
BBG;Bordeaux Benauge
BBI;Bornel Belle Eglise
BBR;Baigts de Bearn
BBS;Bonnard Bassou
BBT;Barbentane Rognonas
BBU;Bourbourg
BBY;Balbigny
BCA;Beaucaire Marchandises
BCB;Bouc Cabries
BC;Boussac
BCE;Bazoches
BCK;Beaucaire
BCL;Boisset (CANTAL)
BCN;Bricon
BCO;Bois Colombes
BCS;Buzancais
BCT;Bagnols Chadenet
BCU;Bacouel
BCX;Blere la Croix
BCY;Bricy Boulay
BCZ;Le Breuil-Sur-Couze
BDA;Baume Les Dames
BD;Bray Dunes
BDC;Baudrecourt
BDE;Sevran Beaudottes
BDG;Le Bugue
BDM;Beaumont De Lomagne
BDO;Bois d Oingt Legny
BDR;Bedarrides
BDX;Badaroux
BDY;Bondy
BEA;Beaune
BEB;Breteuil Embranchement
BE;Boulogne Ville
BEC;Becon Les Bruyeres
BED;Bedarieux
BEE;Belleville
BEG;Bergues
BEH;Bourre
BEL;Berlin OSTGBF
BEN;Benestroff
BEP;Brazey en Plaine
BER;Berlaimont
BES;Belves
BET;Bethune
BEU;Brionne (Eure)
BEV;Bas Evette
BEW;Briare
BEX;Beuxes
BEY;Bernay
BF;Bourganeuf
BFD;Benfeld
BFF;Biffontaine
BFH;Bischoffsheim
BFP;La Baule les Pins
BFT;Belfort
BGA;Bussiere Galant
BGB;Bourg en Bresse
BG;Bully Grenay
BGC;Bergerac
BGD;Bellegarde (AIN)
BGE;Bauge
BGH;Bruges
BGL;Begles
BGM;Birmingham International
BGN;Brignais
BGO;Bagnoles de L'Orne
BGR;Bourg Argental
BGS;Bourges
BGT;Bourgtheroulde Thuit Hebert
BGU;Baillarguesg
BGV;Bougival
BGW;Le Bourget Triage
BGY;Beaugency
BGZ;Bourgneuf en Retz
BHA;Bersac
BH;Buchs
BHC;Anvers-Berchem
BHF;Berlin Hauptbahnhof
BHH;Breitenbach (Ht Rhin)
BHI;Bohain
BHM;Bischheim
BHN;Berthelming
BHS;Les Bossons
BHT;Beauchastel
BHU;Bessines
BHV;Bucheres Verrieres
BHW;Bischwiller Bas Rhing
BIA;Biache St Vaast
BIB;Belle Isle Begard
BIE;Braine
BIG;Bigny
BIH;Breuillet Bruyeres Le Chatel
BII;La Bassee Violaines
BI;Isbergues
BIL;Beillant
BIM;Blesme Haussignemont
BIP;Blangy sur Ternoise
BIQ;Besle
BIR;Beautiran
BIS;Bievres
BIU;Bailleul Nord
BIV;Beaurainville
BIW;Brienon
BIY;Bouilly Roncenay
BIZ;Bize
BJC;Barjac
BJL;Boujailles
BJO;Biot
BKB;Balsieges Bourg
BKO;Bocognano
BKW;Boucoiran
BLA;Boissy L'Aillerie
BL;Blois
BLC;Barisey La Cote
BLD;Bar Le Duc
BLE;Bellenaves
BLG;Brive La Gaillarde
BLI;Bonlieu Roubion (lgv)
BLL;Bellac
BLM;Brassac Les Mines Ste Florine
BLN;Bollene La Croisiere
BLQ;Bouaye
BLR;Beaumont Le Roger
BLS;Brignoles
BLU;Bellevue
BLV;Blainville Damelevieres
BLX;Boisleux 
BLY;Blaye
BMA;Bry Sur Marne 
BM;Boulevard Massena 
BMC;Brion Montreal La Cluse
BMD;Bourg Madame
BME;Ballan
BMM;Boulogne Maritine
BMO;Bas Monistrol
BMR;Bussac
BMT;Bourmont 
BMV;Bonnemain
BNA;Bruxelles National Aeroport
BN;Besancon Viotte
BNC;Bannalec
BND;Bandol
BNE;Berne
BNG;Bening
BNH;Bengy
BNI;Bellignat
BNL;Bagnols
BNM;Besancon Mouillere
BNO;Beynost
BNR;Bonnieres
BNS;Bains Les Bains
BNT;Bolbec Nointot 
BNU;Brignoud
BNW;Bennwihr
BNX;La Bernerie
BNY;Brunoy
BNZ;Bournezeau
BOA;Boulogne Bassins
