Abk;Name
HD;Heddernheim
HWD;Hauptwache (D-Ebene)
HWC;Hauptwache (C-Ebene)
BW;Bockenheimer Warte
BWC;Bockenheimer Warte (C-Ebene)
BWD;Bockenheimer Warte (D-Ebene)
WB;Willy-Brandt-Platz
WBC;Willy-Brand-Platz (C-Ebene)
WBD;Willy-Brand-Platz (D-Ebene)
BBO;BB Ost
ABBH;Abstellanlage Bommersheim
SB;Südbahnhof
SP;Schweizer Platz
ET;Eschenheimer Tor
GW;Grüneburgweg
HO;Holzhausenstraße
MI;Miquel-/Adickesallee/Polizeipräsidium
DO;Dornbusch (Hessischer Rundfunk)
FT;Fritz-Tarnow-Straße
HG;Hügelstraße
LB;Lindenbaum
WS;Weißer Stein
ZW;Zeilweg
ANW;Abzweig Nordwest
HL;Heddernheimer Landstraße
NW;Nordwestzentrum
RS;Römerstadt
NI;Niddapark
GI;Ginnheim
SM;Sandelmühle
RW;Riedwiese/Mertonviertel
KA;Kalbach
BM;Bonames Mitte
NE;Nieder-Eschbach
OE;Ober-Eschbach
GO;Gonzenheim
