Name;Abk
Ahrensburg-Ost;AO
Ahrensburg-West;AW
Alsterdorf;AL
Alter Teichweg;AT
Barmbek;BA
Baumwall;BL
Beimoor;BM
Berliner Tor;BT
Berne;BE
Billstedt;BI
Borgweg;BO
Brückenstraße;BK
Buchenkamp;BP
Buckhorn;BN
Burgstraße;BG
Christuskirche;CH
Dehnhaide;DE
Emilienstraße;EM
Eppendorfer Baum;EP
Farmsen;FA
Feldstraße;FE
Fuhlsbüttel;FU
Fuhlsbüttel-Nord;FL
Gänsemarkt;GM
Garstedt;GA
Großhansdorf;GH
Habichtstraße;HA
Hagenbecks Tierpark;HG
Hagendeel;HL
Hallerstraße;HR
Hamburger Straße;HS
Hammer Kirche;HK
Hauptbahnhof-Nord;HX
Hauptbahnhof-Süd;HB
Hellkamp;HE
Hoheluftbrücke;HO
Hoisbüttel;HT
Horner Rennbahn;HN
Hudtwalckerstraße;HU
Joachim-Mähl-Straße;JM
Jungfernstieg;JG
Kellinghusenstraße;KE
Kiekut;KI
Kiwittsmoor;KM
Klein Borstel;KB
Klosterstern;KR
Landungsbrücken;LB
Langenhorn-Markt;LM
Langenhorn-Nord;LN
Lattenkamp;LA
Legienstraße;LE
Lohmühlenstraße;LS
Lübecker Straße;LU
Lutterothstraße;LT
Meiendorfer Weg;ME
Merkenstraße;MS
Meßberg;MB
Messehallen;MH
Mönckebergstraße;MO
Mümmelmannsberg;MG
Mundsburg;MU
Niendorf-Markt;NM
Niendorf-Nord;NN
Norderstedt-Mitte;NO
Ochsenzoll;OZ
Ohlsdorf;OH
Ohlstedt;OT
Osterstraße;OS
Rathaus;RA
Rauhes Haus;RH
Richtweg;RW
Ritterstraße;RI
Rödingsmarkt;RD
Rothenburgsort;RO
Saarlandstraße;SA
Schippelsweg;SW
Schlump;SL
Schmalenbek;SK
Sengelmannstraße;SE
Sierichstraße;SI
Spaldingstraße;SP
St. Pauli;PA
Steinfurther Allee;SF
Steinstraße;ST
Sternschanze;SZ
Straßburger Straße;SR
Süderstraße;SS
Trabrennbahn;TR
Uhlandstraße;UH
Volksdorf;VF
Wandsbeker Chaussee;WR
Wandsbek-Gartenstadt;WK
Wandsbek-Markt;WM
Wartenau;WA
