Linie;Laufweg
501;Wulsdorf Bahnhofstr. - Grünhöfe - Hauptbahnhof - Elbinger Platz - Weserfähre - Stadtverwaltung - Parkstr. - Leherheide West (Schnellbus)
502;Leherheide West - Parkstr. - Flötenkiel - Lehe - Havenwelten - Hauptbahnhof - Humboldtschule - Grünhöfe
503;Surheide - Hauptbahnhof - Elbinger Platz - Stadtverwaltung - Flötenkiel - Leherheide West
504;Hauptbahnhof - Konrad-Adenauer-Platz - Fischereihafen - Bohmsiel - IKEA
505;Gewerbegebiet Debstedt - Langen Mitte - Hinschweg - Flötenkiel - Lehe - Rotersand - Havenwelten - Hauptbahnhof - Wulsdorf - IKEA
506;SZ Langen - Langen Mitte - Flötenkiel - Lehe - Rotersand - Havenwelten - Wulsdorf - Wulsdorf Bahnhofstr.
507;Bramel - Schiffdorf - Hauptbahnhof - Elbinger Platz - Stadtverwaltung - Bahnhof Lehe - Spaden
508;Klinikum Bremerhaven - Hauptbahnhof - Havenwelten - Lehe - Bahnhof Lehe - Leherheide West
509;Langen -/Imsum Ort - Weddewarden - Flötenkiel - Stadtverwaltung - Havenwelten - Hauptbahnhof - Surheide
510;Am Seedeich - Fähranleger - Elbinger Platz - Hauptbahnhof
511;Bohmsiel - Wulsdorf - Weserfähre - Rotersand - Lehe - Gesundheitsamt - Parkstr. - Ahornweg - Leherheide West (Schnellbus)
512;(ALT) Weddewarden Überseering - Überseehafen - Rotersand
513;ALT Leherheide Louise-Schroeder-Str. - Plätternweg
515;ALT Stadtverwaltung - Buschkämpen
516;ALT Bohmsiel - Labradorhafen - Seewindstr.
517;ALT Surheide - Veerenholzstr.
HL;Hafen-Liner: Thünen-Institut - Fischereihafen - Konrad-Adenauer-Platz - Hauptbahnhof - Elbinger Platz - Havenwelten - Neuer Hafen - Rotersand
ML;Moon-Liner: Leherheide - Parkstr. - Lehe - Rotersand - Elbinger Platz - Hauptbahnhof - Humboldtschule - Wulsdorf - Surheide - Hauptbahnhof
NL;Night-Liner: Debstedt - Langen Mitte - Parkstr. - Stadtverwaltung - Havenwelten - Hauptbahnhof - Konrad-Adenauer-Platz - Wulsdorf - Bohmsiel
E11;Debstedt - Langen Mitte - Parkstr. - Flötenkiel - Stadtverwaltung - Hauptbahnhof - Gymnasium Wesermünde
E13;Schiffdorf - Veerenholzstr. - Gymnasium Wesermünde
E16;Leherheide West - Parkstr. - SZ Carl v. Ossietzky
