Linie;Laufweg
201;Bremen-Huchting - Heidkrug - Bahnhof/ZOB - Markt - Hasport - Annenheide
202;Deichhorst Hilversumer Str. - Markt - Bahnhof/ZOB - Lange Str. - Brendel - Annenheide - Hasport
203;Deichhorst Hanse-Wissenschaftskolleg - Neue Str. - Bahnhof/ZOB - Lange Str. - Berliner Str. - Hasport (- Annenheide)
204;Bremen-Huchting - Varrel - Stickgras - Bahnhof/ZOB - Markt - Düsternort - Brendel Jenaer Str./- Adelheide
205;Bungerhof - Nordstr. - Bahnhof/ZOB - Markt - Brendel Gothaer Str.
206;Bungerhof - Scheffelstr. - Bahnhof/ZOB - Markt - Berufsschule - Deichhorst Hanse-Wissenschaftskolleg
207;Hasbergen -/Alrusch - Dreilinien - Wendenstr. - Bahnhof/ZOB - Bergfeld - Elmeloh/- Wichernstift
212;Dreilinien - Wendenstr. - Museum - Bahnhof/ZOB - Markt - Brendel - Annenheide
213;Dwoberg - Bergfeld - Bahnhof/ZOB - Markt - Berliner Str. - Stickgras
214;Bremen-Huchting - Varrel - Heidkrug - Stickgras - Museum - Bahnhof/ZOB
215;Bungerhof - Scheffelstr. - Bahnhof/ZOB - Lange Str. - Brendel Gothaer Str.
216;Deichhorst Hilversumer Str. - Hanse-Wissenschaftskolleg - Markt - Bahnhof/ZOB - Lange Str. - Hasport
218;Wichernstift - Berufsschule - Bahnhof/ZOB - Lange Str. - Düsternort - Adelheide
