Linie;Laufweg
1;Weiden West – Junkersdorf – Müngersdorf – Aachener Str./Gürtel – Rudolfplatz – Neumarkt – Bf Deutz – Kalk – Höhenberg – Merheim – Brück – Refrath – Bensberg
3;Görlinger-Zentrum – Mengenich – Bocklemünd – Bickendorf – Ehrenfeld – Bf West – Friesenplatz – Neumarkt – Bf Deutz – Buchforst – Buchheim – Holweide – Dellbrück – Thielenbruch
4;Bocklemünd – Bickendorf – Ehrenfeld – Bf West – Friesenplatz – Neumarkt – Bf Deutz – Mülheim Wiener Platz – Höhenhaus – Dünnwald – Schlebusch
5;Am Butzweilerhof – Neuehrenfeld – Bf West – Friesenplatz – Dom/Hbf – Rathaus – Heumarkt (Teilstrecke: Nord-Süd-Stadtbahn)
7;Frechen – Marsdorf – Lindenthal – Aachener Str./Gürtel – Rudolfplatz – Neumarkt – Deutz – Poll – Westhoven – Ensen – Porz – Zündorf
9;Sülz – Universität – Bf Süd – Neumarkt – Bf Deutz – Kalk – Vingst – Ostheim – Königsforst
12;Merkenich – Niehl – Weidenpesch – Nippes – Ebertplatz – Friesenplatz – Rudolfplatz – Barbarossaplatz – Zollstock
13;Gürtelbahn: Sülzgürtel – Lindenthal – Aachener Str./Gürtel – Ehrenfeld – Neuehrenfeld – Bilderstöckchen – Nippes – Amsterdamer Str./Gürtel – Mülheim Wiener Platz – Bf Mülheim – Buchheim – Holweide Vischeringstr.
15;Chorweiler – Heimersdorf – Longerich – Weidenpesch – Nippes – Ebertplatz – Friesenplatz – Rudolfplatz – Barbarossaplatz – Chlodwigplatz – Ubierring
16;Rheinuferbahn: Niehl Sebastianstr. – Amsterdamer Str./Gürtel – Ebertplatz – Dom/Hbf – Neumarkt – Barbarossaplatz – Chlodwigplatz – Ubierring – Bayenthal – Rodenkirchen – Sürth – Godorf – Wesseling – Hersel – Bonn Hbf – Bonn-Bad Godesberg
17;Nord-Süd-Stadtbahn: Severinstr. – Chlodwigplatz – Rodenkirchen (– Sürth)
18;Vorgebirgsbahn: Thielenbruch – Dellbrück – Holweide – Buchheim – Bf Mülheim – Mülheim Wiener Platz – Zoo/Flora – Ebertplatz – Dom/Hbf – Neumarkt – Barbarossaplatz – Sülzgürtel – Klettenberg – Hürth – Brühl – Schwadorf – Bornheim – Alfter – Bonn Hbf
E;Sonderzüge - meist zu Karneval oder zu Spielen des @fckoeln
