Linie;Laufweg
1;Kliniken - Hauptbahnhof - Marienplatz - Stauffenbergstraße - Berliner Platz - Hegelstraße
2;Lankow-Siedlung - Platz der Freiheit - Marienplatz - Stauffenbergstraße - Berliner Platz - Hegelstraße
3;Hegelstraße - Berliner Platz - Stauffenbergstraße - Waldfriedhof - Krebsförden - Neu Pampow
4;Kliniken - Hauptbahnhof - Marienplatz - Waldfriedhof - Krebsförden - Neu Pampow
5;Hauptbahnhof P+R - Marienplatz - Görries
6;Stauffenbergstraße - Freilichtmuseum - Raben Steinfeld, Oberdorf
7;Hauptbahnhof P+R - Marienplatz - Krebsförden Dorf - Grabenstraße - Krebsförden
8;Lübstorf - Wickendorf - Kliniken - Hauptbahnhof - Marienplatz - Jugendherberge
9;Stauffenbergstraße - Am Grünen Tal - Stern Buchholz
10;Buchenweg - Knaudtstraße - Schloss/Theater - Marienplatz - Hauptbahnhof - Platz der Freiheit - Alter Friedhof - Bleicherufer
11;Buchenweg - / Kliniken - Walther-Rathenau-Straße - Bergstraße - Schelfmarkt - Hauptbahnhof - Platz der Freiheit - Alter Friedhof - Bleicherufer
12;Marienplatz - Neumühle - Sacktannen - Wittenförden
13;Lankow-Siedlung - Sacktannen - Grabenstraße - Krebsförden - Waldfriedhof - Am Grünen Tal - Otto von-Guericke-Straße
14;Lankow-Siedlung - Neumühle - Marienplatz - Jugendherberge
16;Kantstraße - Am Grünen Tal - Waldfriedhof - Krebsförden - Grabenstraße - Görries
17;Friedrichsthal - Lankow-Siedlung - Kieler Straße
18;Friedrichsthal - Lankow-Siedlung - Kieler Straße - Margaretenhof - Alte Gärtnerei - Pingelshagen
19;Hauptbahnhof P+R - Marienplatz - Betriebshof NVS
20;Stauffenbergstraße - Göhrener Tannen
