Linie;Laufweg
1;Stadtverkehr Wismar: Gägelow - Ostseeblick - Wendorf - Wismar ZOB - Krankenhaus - Friedenshof
2;Stadtverkehr Wismar: Gägelow - Proseken - Ostseeblick - Wendorf - Krankenhaus - Friedhof - ZOB
3;Stadtverkehr Wismar: Fischkaten - Philosophenweg - ZOB - Burgwall - Markt - Fischkaten
4;Stadtverkehr Wismar: Seebad Wendorf - Markt - ZOB - Sporthalle - Krankenhaus - Gartenstadt
5;Stadtverkehr Wismar: Seebad Wendorf - Burgwall - Markt - Bahnhof
6;Stadtverkehr Wismar: Kritzow - Dargetzow - ZOB - Westhafen - Burgwall - Kritzow
30;Stadtverkehr Grevesmühlen
106;Schwerin - Kl. Trebbow - Drispeth
107;Schwerin - Alt Meteln - Böken
110;Schwerin - Brüsewitz - Cramon
130;Gadebusch - Bobitz - Wismar
131;Gadebusch - Ratzeburg
140;Gadebusch - Schwerin
142;Gadebusch - Mühlen Eichsen - Grevesmühlen
143;Gadebusch - Mühlen Eichsen - Schwerin
144;Schwerin - Drieberg - Gadebusch
145;Gadebusch - Schönberg - Selmsdorf
146;Gadebusch - Rehna - Carlow - Schlagsdorf
147;Bentin - Krembz - Gadebusch
148;Krembz - Lützow - Schwerin
151;Grambow - Lützow - Gr. Welzin - Gadebusch
152;Gadebusch - Rosenow
153;Gadebusch - Lützow - Krembz
155;Gadebusch - Wakenstädt
156;Gadebusch - Kneese - Roggendorf - Gadebusch
158;Schwerin - Gadebusch - Rehna - Schönberg
160;Rehna - Parber - Törber - Löwitz
161;Gadebusch - Rehna - Benzin
162;Gadebusch - Meetzen - Kl. Hundorf - Gadebusch
163;Gadebusch - Webelsfelde/Frauenmark - Mühlen Eichsen
200;Wismar - Neukloster
202;Wismar - Neukloster - Warin - Groß Labenz
203;Kritzow - Madson Hof
230;Wismar - Kirchdorf - Timmendorf Strand
235;Schwerin Hbf - Lübstorf - Wismar
240;Wismar - Klütz - Boltenhagen - Weiße Wiek
241;Wismar - Hohen Wieschendorf
245;Wismar - Neukloster - Warin - Blankenberg
250;Wismar - Bobitz
251;Wismar - Beidendorf - Bobitz - Dorf Mecklenburg - Lübow
254;Rambow - Bobitz
255;Bobitz - Bad Kleinen
280;Dorf Mecklenburg - Gallentin
300;Grevesmühlen - Dassow - Schlutup
301;Dassow - Schönberg - Selmsdorf
310;Grevesmühlen - Mühlen Eichsen/Schönhof
320;Grevesmühlen - Tarnewitz/Redewisch
321;Klütz - Hohen Schönberg - (Schwansee) - Kalkhorst - Dassow
322;Klütz - Elmenhorst - Brook
323;Damshagen - Gutow - Moor/Parin
325;Weiße Wiek - Boltenhagen - Redewisch
330;Grevesmühlen - Wismar
331;Grevesmühlen - Friedrichshagen/Barendorf
332;Grevesmühlen - Niendorf/Ostsee
333;Grevesmühlen - Warnow - Damshagen
335;Grevesmühlen - Dassow - Selmsdorf - Lübeck
340;Grevesmühlen - Mühlen Eichsen - Schwerin Hbf
341;Grevesmühlen - Mallentin - Damshagen/Dassow
342;Grevesmühlen - Menzendorf - Schönberg
343;Grevesmühlen - Bernstorf - Börzow/Gostorf
344;Grevesmühlen - Rehna - Schönberg
345;Grevesmühlen - Klütz - Boltenhagen - Weiße Wiek
351;Schönberg - Carlow/Cordshagen
353;Schönberg - Lockwisch
372;Dassow - Harkensee - Pötenitz
390;Boltenhagen - Dassow - Schönberg - Herrnburg - Lübeck
390;Schönberg - Lüdersdorf - Herrnburg
391;Schattin - Herrnburg
400;Wismar - Proseken - (Barnekow) - Grevesmühlen
401;Wismar - Zierow - Proseken
402;Wismar - Barnekow - Gägelow - Proseken
410;Neukloster - Lüdersdorf b Neukloster
411;Kritzow - Neukloster Am Sonnenberg
412;Wismar - Hornstorf - Krusenhagen
413;Wismar - Neuburg - Boiensdorf
420;Wismar - Ventschow
421;Karow Gewerbepark - Kritzow Gewerbegebiet
431;Wismar - Boiensdorf
440;Neukloster - Groß Tessin - Babst - Glasin - Passee
441;Neukloster - Wakendorf
