Linie;Laufweg
701;Stadtlinie Kyritz: Lindenschule - Untersee
702;Kyritz - Teetz
703;Kyritz - Berlitt - Breddin
704;Kyritz - Blankenberg - Gottberg - Neuruppin
705;Kyritz - Babe
706;Kyritz - Joachimshof - Babe
707;Kyritz - Schönberg (Ky.) - Wulkow (Ky.)
711;PlusBus Ruppiner Seenland: Kyritz - Wusterhausen - Neuruppin
712;Kyritz - Zernitz - Neustadt (Dosse)
713;Neustadt (Dosse) - Wusterhausen - Nackel
714;Kyritz - Wusterhausen (Dosse) - Neustadt (Dosse)
715;Neustadt (Dosse) - Sieversdorf - Dreetz
717;Kyritz - Drewen
719;Breddin - Zernitz - Neustadt (Dosse)
740;Stadtlinie Wittstock (Dosse): Alt Daber - Polthierstr.
741;Wittstock - Gadow - Dossow - Wittstock
742;Wittstock - Blumenthal - Grabow - Herzsprung
743;Wittstock - Blesendorf - Heiligengrabe - Wittstock
744;Wittstock - Königsberg - Herzsprung - Rossow - Kyritz
745;Wittstock - Freyenstein - Ackerfelde - Meyenburg
746;Wittstock - Sewekow - Zempow - Flecken Zechlin
748;Rossow - Neuruppin
752;Neuruppin - Garz - Wustrau
754;Neuruppin - Kränzlin - Walsleben - Dannenfeld
756;PlusBus Ruppiner Seenland: Neuruppin - Fehrbellin
757;Fehrbellin - Königshorst
758;Fehrbellin - Linum - Kremmen
759;Neuruppin - Wildberg
762;Neuruppin - Gühlen Glienicke - Rägelin - Walsleben
764;PlusBus Ruppiner Seenland: Neuruppin - Lindow (Mark) - Rheinsberg
766;Wustrau - Fehrbellin
770;Stadtlinie Neuruppin: Treskow - Alt Ruppin
771;Stadtlinie Neuruppin: Alt Ruppin - W.-Rathenau-Str.
772;Stadtlinie Neuruppin: Rheinsberger Tor Bhf. - Alt Ruppin, Schule
777;Neuruppin - Rüthnick - Wustrau
779;Neuruppin - Molchow - Zermützel/Zippelsförde
782;Wall - Beetz-Sommerfeld
783;Herzberg (Mark) - Löwenberg
784;Rheinsberg - Lindow (Mark) - Gransee
785;Schlösser-Linie: Rheinsberg - Flecken Zechlin - Mirow
787;Neuruppin - Flecken Zechlin
788;Rheinsberger Seenbus: Rheinsberg - Großzerlang
791;Neuruppin - Rüthnick - Herzberg (Mark) - Lindow (Mark)
792;Lindow (Mark) - Gühlen - Keller - Banzendorf - Hindenberg (OPR)
794;Tierpark-Heide-Linie: Neuruppin - Gühlen Glienicke - Rheinsberg
