Linie;Laufweg
BER2;AirportShuttle: S Hauptbahnhof - S Teltow Stadt - Flughafen BER Terminal 1-2
F1;Auf dem Kiewitt - Hermannswerder
N13;S Hauptbahnhof - S Babelsberg/Lutherplatz - Am Stern, Johannes-Kepler-Platz - Stahnsdorf, Waldschänke - Kleinmachnow, Rathausmarkt - S Teltow Stadt/Gonfrevillestr.
N14;Golm, Science Park/Universität - Bhf Park Sanssouci - Bhf Charlottenhof - S Hauptbahnhof - S Babelsberg/Schulstr. - Bhf Rehbrücke - Am Stern, Johannes-Kepler-Platz 
N15;S Hauptbahnhof - Neu Fahrland, Heinrich-Heine-Weg - Groß Glienicke, Birkenweg / Fahrland, Am Upstall
N16;S Hauptbahnhof - Glienicker Brücke - S Berlin-Wannsee - S Berlin-Nikolassee
N17;Bornim, Institut für Agrartechnik - S Hauptbahnhof - S Babelsberg/Schulstr. - S Griebnitzsee Bhf/Süd - Am Stern, Johannes-Kepler-Platz
X1;PlusBus Teltower Rübchen: S Hauptbahnhof - Drewitz, Stern-Center/Nuthestr. - Stahnsdorf, Waldschänke - Teltow, Warthestr. - S Teltow Stadt - Teltow, Bahnhof
X5;S Hauptbahnhof - Bhf Charlottenhof - Bhf Park Sanssouci - Campus Universität/Lindenallee - Bhf Golm
X15;Sanssouci-Linie: S Hauptbahnhof - Schloss Sanssouci
X43;S Hauptbahnhof - Michendorf, Bahnhof - Seddin, Jägerhof - Beelitz, Am Lustgarten - Beelitz, Liebknechtpark
91;Bhf Pirschheide - Bhf Charlottenhof - Platz der Einheit/West - S Hauptbahnhof - Bhf Rehbrücke
92;Bornstedt, Kirschallee - Platz der Einheit/West - S Hauptbahnhof - Schlaatz, Bisamkiez (- Am Stern, Johannes-Kepler-Platz - Kirchsteigfeld, Marie-Juchacz-Str.)
93;Kultur-Linie: Glienicker Brücke - Platz der Einheit/Bildungsforum - S Hauptbahnhof - Bhf Rehbrücke
94;(Bhf Pirschheide -) Schloss Charlottenhof - Bhf Charlottenhof - Platz der Einheit/West - S Babelsberg/Wattstr. - Babelsberg, Fontanestr.
96;Volkspark-Linie: Campus Jungfernsee - Platz der Einheit/West - S Hauptbahnhof - Schlaatz, Bisamkiez - Am Stern, Johannes-Kepler-Platz - Kirchsteigfeld, Marie-Juchacz-Str.
98;Schloss Charlottenhof - Bhf Charlottenhof - Platz der Einheit/West - S Hauptbahnhof - Bhf Rehbrücke
99;Babelsberg, Fontanestr. - S Babelsberg/Wattstr. - Platz der Einheit/Nord (- S Hauptbahnhof)
118;Drewitz, Stern-Center/Nuthestr. - Am Stern, Johannes-Kepler-Platz - Berlin, Steinstücken - S Berlin-Wannsee - Berlin, U Krumme Lanke - Berlin, Rathaus Zehlendorf
316;Glienicker Brücke - S Berlin-Wannsee
580;PlusBus Hoher Fläming: S Hauptbahnhof - Werder, Strengbrücke - Lehnin, Busbahnhof - Bad Belzig, Busbahnhof - Bad Belzig, Bahnhof - Bad Belzig, Am Betriebshof
601;S Hauptbahnhof - S Babelsberg/Schulstr. - Medienstadt Babelsberg Bhf - Am Stern, Johannes-Kepler-Platz - Stahnsdorf, Waldschänke - S Teltow Stadt - Teltow, Sigridshorst
602;S Babelsberg/Lutherplatz - Bhf Rehbrücke - Stahnsdorf, Waldschänke - Stahnsdorf, Green Park - Teltow, Warthestr.
