Liniennummer;Name, Laufweg, Betreiber
RE2;SÜWEX: Frankfurt Hbf – F-Flughafen – Mainz Hbf – Koblenz Hbf (DB)
RE3;Frankfurt Hbf – F-Flughafen – Mainz Hbf – Saarbrücken Hbf (vlexx)
RE4;SÜWEX: Karlsruhe – Worms – Mainz Hbf – F-Höchst – Frankfurt Hbf (DB)
RB5;Fulda – Bebra – Kassel Hbf (CAN)
RB7;(Fulda –) Bebra – Göttingen (CAN)
RE9;RheingauExpress: Eltville – F-Höchst – Frankfurt Hbf (VIAS)
RB10;RheingauLinie: Neuwied – Koblenz Hbf – Wiesbaden Hbf – F-Höchst – Frankfurt Hbf (VIAS)
RB11;Sodener Bahn: Frankfurt-Höchst – Bad Soden am Taunus (HLB)
RB12;Königsteiner Bahn: Frankfurt Hbf – F-Höchst – Königstein im Taunus (HLB)
RE13;Frankfurt Hbf – F-Flughafen – Mainz Hbf – Kirchheimbolanden (vlexx)
RE14;SÜWEX: Mannheim Hbf – Mainz Hbf – F-Höchst – Frankfurt Hbf (DB)
RB15;Taunusbahn: (Frankfurt Hbf –) Bad Homburg – Grävenwiesbach (– Brandoberndorf) (HLB)
RB16;Friedberg (Hessen) – Friedrichsdorf (HLB)
RE20;Main-Lahn-Bahn: Frankfurt Hbf – F-Höchst – Limburg a. d. Lahn (DB)
RB21;Ländchesbahn: Wiesbaden Hbf – Niedernhausen (– Limburg a. d. Lahn) (HLB)
RB22;Main-Lahn-Bahn: Frankfurt Hbf – F-Höchst – Limburg a. d. Lahn (DB)
RB23;Limburg a. d. Lahn – Koblenz Hbf – Mayen Ost (DB)
RE24;Gießen – Wetzlar – Weilburg (HLB)
RE25;Lahntalbahn: Gießen – Limburg a. d. Lahn – Koblenz Hbf (DB)
RB26;Mittelrheinbahn: Köln Hbf – Koblenz Hbf – Bingen Hbf – Mainz Hbf (trans regio)
RB29;Unterwesterwaldbahn: Limburg a. d. Lahn – Montabaur – Siershahn (HLB)
RE30;Main-Weser-Bahn: Frankfurt Hbf – Gießen – Treysa – Kassel Hbf (DB)
RB31;(Frankfurt Hbf – F-Flughafen –) Mainz Hbf – Kirchheimbolanden (vlexx)
RB33;(Frankfurt Hbf – F-Flughafen –) Mainz Hbf – Bad Kreuznach – Idar-Oberstein (vlexx)
RB34;Niddertalbahn: (Frankfurt Hbf –) Bad Vilbel – Glauburg-Stockheim (DB)
RB40;Mittelhessen-Express: Frankfurt Hbf – Gießen – Wetzlar – Dillenburg (DB)
RB41;Mittelhessen-Express: Frankfurt Hbf – Gießen – Treysa (DB)
RB42;Burgwaldbahn: Marburg (Lahn) – Korbach Hbf – Brilon Stadt (DB Kurhessenbahn)
RB45;Lahntal- und Vogelsbergbahn: Limburg a. d. Lahn – Gießen – Fulda (HLB)
RB46;Lahn-Kinzig-Bahn: Gießen – Nidda – Glauburg-Stockheim – Gelnhausen (HLB)
RB47;Friedberg (Hessen) – Wölfersheim-Södel (HLB)
RB48;Horlofftalbahn: (Frankfurt Hbf – ) Friedberg (Hessen) – Nidda (HLB)
RB49;Gießen – Friedberg (Hessen) – Hanau Hbf (DB)
RE50;Kinzigtalbahn: Frankfurt Hbf – Offenbach Hbf – Hanau Hbf – Fulda (DB)
RB51;Kinzigtalbahn: Frankfurt Hbf – Offenbach Hbf – Hanau Hbf – Wächtersbach (– Bad Soden-Salmünster) (DB)
RB52;Rhönbahn: Fulda – Gersfeld (Rhön)
RB53;Schlüchtern – Gemünden am Main (DB)
RE54;Main-Spessart-Express: Frankfurt Hbf – F-Ost – Hanau Hbf – Aschaffenburg Hbf – Bamberg (DB)
RE55;Main-Spessart-Express: Frankfurt Hbf – Offenbach Hbf – Hanau Hbf – Würzburg Hbf (– Bamberg) (DB)
RB56;Kahlgrundbahn: Hanau Hbf – Kahl am Main – Schöllkrippen (DB Westfrankenbahn)
RB58;Rüsselsheim Opelwerk – Frankfurt Süd – F-Ost – Aschaffenburg Hbf – Laufach (HLB)
RE59;Frankfurt Flughafen – F-Süd – F-Ost – Hanau Hbf – Aschaffenburg Hbf (HLB)
RE60;Main-Neckar-Ried-Express: Frankfurt Hbf – Darmstadt Hbf – Mannheim Hbf (DB)
RB61;Dreieichbahn: Frankfurt Hbf – Dreieich-Buchschlag – Rödermark Ober-Roden – Dieburg (DB)
RB66;Pfungstadtbahn: Darmstadt Hbf – DA-Eberstadt – Pfungstadt (VIAS)
RB67;Main-Neckar-Ried-Express: Frankfurt Hbf – Darmstadt Hbf – Neu-Edingen/Friedrichsfeld – (Mannheim Hbf | Schwetzingen) (DB)
RB68;Main-Neckar-Ried-Express: Frankfurt Hbf – Darmstadt Hbf – Neu-Edingen/Friedrichsfeld – Heidelberg Hbf (– Wiesloch-Walldorf) (DB)
RE70;Main-Neckar-Ried-Express: Frankfurt Hbf – Riedstadt-Goddelau – Mannheim Hbf (DB)
RB75;Wiesbaden Hbf – Mainz Hbf – Darmstadt Hbf – Dieburg – Aschaffenburg Hbf (HLB)
RE80;Odenwaldbahn: Darmstadt Hbf – Groß-Umstadt Wiebelsbach – Eberbach (VIAS)
RB81;Odenwaldbahn: Darmstadt Hbf – Groß-Umstadt Wiebelsbach – Eberbach (VIAS)
RB82;Odenwaldbahn: Frankfurt Hbf – Darmstadt Nord – Groß-Umstadt Wiebelsbach – Eberbach (VIAS)
RE85;Odenwaldbahn: Frankfurt Hbf – Offenbach Hbf – Hanau Hbf – Groß-Umstadt Wiebelsbach (– Erbach (Odw)) (VIAS)
RB86;Odenwaldbahn: Hanau Hbf – Groß-Umstadt Wiebelsbach (VIAS)
RB90;Oberwesterwaldbahn: Limburg a. d. Lahn – Hadamar – Westerburg (HLB)
RB94;Obere Lahntalbahn: Marburg (Lahn) – Erndtebrück (DB Kurhessenbahn)
RB95;Dillenburg – Haiger – Siegen Hbf (HLB)
RB96;Hellertalbahn: Dillenburg – Haiger – Betzdorf (Sieg) (HLB)
RE98;Frankfurt Hbf – Gießen – Kassel Hbf (HLB)
RE99;Frankfurt Hbf – Gießen – Siegen Hbf (HLB)
S1;Wiesbaden Hbf – F-Höchst – City-Tunnel – Offenbach Ost – Rödermark Ober-Roden (DB)
S2;Niedernhausen – F-Höchst – City-Tunnel – Offenbach Ost – Dietzenbach Bahnhof (DB)
S3;Bad Soden am Taunus – F-Rödelheim – City-Tunnel – F-Süd – Darmstadt Hbf (DB)
S4;Kronberg im Taunus – F-Rödelheim – City-Tunnel – F-Süd – Langen (DB)
S5;Friedrichsdorf – F-Rödelheim – City-Tunnel – F-Süd (DB)
S6;Friedberg (Hessen) – F-West – City-Tunnel – F-Süd (DB)
S7;Frankfurt Hbf – F-Stadion – Riedstadt-Goddelau (DB)
S8;Wiesbaden Hbf – Mainz Hbf – F-Flughafen – City-Tunnel – Offenbach Ost – Hanau Hbf (DB)
S9;Wiesbaden Hbf – Mainz-Kastel – F-Flughafen – City-Tunnel – Offenbach Ost  – Hanau Hbf (DB)
