Linie;Laufweg
S1;Breisach - Gottenheim - Freiburg - Titisee - Seebrugg
S2;Freiburg - Denzlingen - Waldkirch - Bleibach - Elzach
S3;Bad Krozingen - Staufen - Münstertal
S5;Breisach - Endingen am Kaiserstuhl - Riegel-Malterdingen
S10;Freiburg - Titisee - Neustadt(Schwarzw) - Donaueschingen - Villingen
S11;Endingen am Kaiserstuhl - Gottenheim - Freiburg - Titisee - Neustadt(Schwarzw)
1;Littenweiler - Bertoldsbrunnen - Hauptbahnhof - Paduaalle - Landwasser
2;Günterstal - Johanneskirche - Bertoldsbrunnen - Hauptbahnhof - Hornusstr. - Zähringen
3;Vauban - Johanneskirche - Bertoldsbrunnen - Hauptbahnhof - Haid
4;Zähringen - Hornusstr. - Betroldsbrunnen - Hauptbahnhof - Messe
5;Rieselfeld - Pressehaus - Stadttheater - Europaplatz
10;Bissierstraße - Elsässer Straße - Paduaallee
11;Haid - St. Georgen - Vauban - Pressehaus - Hauptbahnhof
14;Hauptbahnhof - Eschholzstraße - Scherrerplatz - Haid
15;Zähringen - Gundelfingen - Wildtal - Berggasse
16;Zähringen - Bf Gundeflingen
17;Molzhofsiedlung - Kappel - Littenweiler
17A;Littenweiler Laßbergstraße - Littenweiler Löwen - Littenweiler Laßbergstraße (Ringverkehr)
18;Littenweiler - Unteres Grün - Ebnet
19;Paduaallee - Lehen Ziegelei - Mundenhof
21;Günterstal - Schauinslandbahn-Talstation - Horben Rathaus
22;Zähringen - IKEA - Messe - Bissierstraße
23;Hauptbahnhof - Rennweg - Industriepark Ost - Zähringen
24;Haid - Rieselfeld - Paduaallee - Zähringen - Bf Gundelfingen
25;Hugstetten Bahnhof - Hochdorf - Industriegebiet Nord - Zähringen
27;Europaplatz - Herdern
31;Paduaallee - Lehen - Umkirch - Merdingen - Hochstetten - Breisach Bahnhof
32;Paduaallee - Lehen - Umkirch - Opfingen - Rieselfeld - Haid
33;Haid - Rieselfeld - Opfingen - Tiengen - Munzingen (- Schallstadt)
34;Haid - St. Georgen - KEIDEL Bad
