Linie;Laufweg
1;Littenweiler - Bertoldsbrunnen - Hauptbahnhof - Paduaalle - Landwasser
2;Günterstal - Johanneskirche - Bertoldsbrunnen - Hauptbahnhof - Hornusstr. - Zähringen
3;Vauban - Johanneskirche - Bertoldsbrunnen - Hauptbahnhof - Haid
4;Zähringen - Hornusstr. - Betroldsbrunnen - Hauptbahnhof - Technische Fakultät
5;Rieselfeld - Pressehaus - Stadttheater - Europaplatz
10;Bissierstraße - Elsässer Straße - Paduaallee/- Landwasser
11;Haid - St. Georgen - Vauban - Pressehaus - Hauptbahnhof
14;Hauptbahnhof - Eschholzstraße - Scherrerplatz - Haid
15;Zähringen - Gundelfingen - Wildtal - Berggasse
16;Zähringen - Bf Gundeflingen
17;Molzhofsiedlung - Kappel - Littenweiler
17A;Littenweiler Laßbergstraße - Littenweiler Löwen - Littenweiler Laßbergstraße (Ringverkehr)
18;Littenweiler - Unteres Grün - Ebnet
19;Paduaallee - Lehen Ziegelei - Mundenhof
21;Günterstal - Schauinslandbahn-Talstation - Horben Rathaus
22;Zähringen - IKEA - Messe - Bissierstraße
23;Hauptbahnhof - Rennweg - Industriepark Ost - Zähringen
24;Haid - Rieselfeld - Paduaallee - Zähringen - Bf Gundelfingen
25;Hugstetten Bahnhof - Hochdorf - Industriegebiet Nord - Zähringen
27;Europaplatz - Herdern
31;Paduaallee - Lehen - Umkirch - Merdingen - Hochstetten - Breisach Bahnhof
32;Paduaallee - Lehen - Umkirch - Opfingen - Rieselfeld - Haid
33;Haid - Rieselfeld - Opfingen - Tiengen - Munzingen (- Schallstadt)
34;Haid - St. Georgen - KEIDEL Bad
35;Haid - St. Georgen - Tiengen - Munzingen
36;Bissierstraße - Elsässer Straße - Landwasser - Hochdorf
N46;Hauptbahnhof - Opfingen - Tiengen - Munzingen - Hochstetten - Breisach
N47;Hauptbahnhof - Umkirch - Waltershofen - Wasenweiler - Ihringen
