Linie;Laufweg
RE1;Hanseexpess: Hamburg Hbf - Schwarzenbek - Müssen - Büchen - Schwerin Hbf - Bad Kleinen - Rostock Hbf
RE4;Lübeck Hbf - Bad Kleinen - Güstrow - Neubrandenburg - Pasewalk - Szczecin Glowny
RE6;Hamburg-Altona - Elmshorn  -Glückstadt - Itzehoe - Husum - Niebüll - Westerland (Sylt)
RE7;Hamburg Hbf - Elmshorn - Neumünster < Bordesholm - Kiel | Rendsburg - Schleswig - Flensburg
RE8;Hamburg Hbf - Bad Oldesloe - Reinfeld - Lübeck Hbf - Lübeck-Travemünde Strand
RE60;Sprinter: Hamburg Hbf - Husum - Niebüll - Westerland (Sylt)
RE70;Hamburg Hbf - Elmshorn - Neumünster - Bordesholm - Kiel Hbf
RE72;Kiel Hbf- Eckernförde - Süderbrarup - Flensburg
RE74;Kiel Hbf - Rendsburg - Schleswig - Husum
RE80;Hamburg Hbf - Ahrensburg - Bad Oldesloe - Reinfeld - Lübeck Hbf
RE83;Kiel Hbf - Plön - Eutin - Lübeck Hbf - Ratzeburg - Büchen - Lüneburg
RE84;Sprinter: Hamburg Hbf - Lübeck Hbf - Bad Schwartau - Eutin - Plön - Preetz - Kiel Hbf
RE85;Hamburger Strand-Express: Hamburg Hbf - Ahrensburg - Bad Oldesloe - Lübeck Hbf - Oldenburg (Holst) - Fehmarn-Burg - Puttgarden
RB61;Hamburg Hbf - Pinneberg - Elmshorn - Glückstadt - Itzehoe
RB62;Heide (Holst) - Meldorf - St. Michaelisdonn - Wilster - Itzehoe
RB63;Neumünster - Hohenwestedt - Nordhastedt - Heide (Holst) - Büsum
RB64;Husum - Tönning - Katharinenheerd - Tating - Bad St. Peter-Ording
RB65;Niebüll - Deezbüll - Maasbüll - Dagebüll
RB66;Niebüll - Uphusum - Süderlügum - Tonder - Visby - Rejsby - Esbjerg
RB71;Hamburg-Altona - Pinneberg - Elmshorn - Wrist
RB73;Kiel Hbf - Eckernförde
RB75;Kiel Hbf - Rendsburg
RB76;Kiel Hbf - Kiel-Oppendorf
RB81;Hamburg Hbf - Hamburg-Wandsbek - Ahrensburg - Bargteheide - Bad Oldesloe
RB82;Bad Oldesloe - Bad Segeberg - Neumünster
RB84;Kiel Hbf - Preetz - Plön - Eutin - Bad Schwartau - Lübeck Hbf
RB85;Lübeck Hbf - Bad Schwartau - Scharbeutz - Sierksdorf - Neustadt (Holst)
X85;Lübeck ZOB - Haffkrug - Oldenburg (Holst) - Fehmarn-Burg - Puttgarden
RB86;Lübeck Hbf - Lübeck-Travemünde Strand
A1;Hamburg-Eidelstedt - Kaltenkirchen (Holst) - Neumünster
A2;Norderstedt Mitte - Ulzburg Süd (- Kaltenkirchen (Holst))
A3;Elmshorn - Barmstedt - Ulzburg Süd
