Linie;Bezeichnung/Laufweg/Betreiber
Kulturzug;Berlin-Lichtenberg - Wrocław Główny (DB Regio Nordost)
HBX;Harz-Berlin-Express: Berlin Ostbahnhof - Magdeburg Hbf - Goslar / Thale Hbf (Abellio Rail Mitteldeutschland)
FEX;Flughafen-Express: Berlin Hbf - Berlin Ostkreuz - Flughafen BER Terminal 1-2 (DB Regio Nordost)
RE1;Magdeburg Hbf - Brandenburg Hbf - Potsdam Hbf - Berlin Hbf - Frankfurt (Oder) (- Cottbus Hbf) (DB Regio Nordost)
RE2;Wismar - Schwerin Hbf - Wittenberge - Berlin Hbf - Cottbus Hbf (ODEG)
RE3;Stralsund Hbf / Schwedt (Oder) - Eberswalde Hbf - Berlin Hbf - Jüterbog - Falkenberg (Elster) / Lutherstadt Wittenberg Hbf (DB Regio Nordost)
RE4;(Stendal Hbf -) Rathenow - Berlin Hbf - Ludwigsfelde (- Jüterbog) (ODEG)
RE5;Rostock Hbf / Stralsund Hbf - Neustrelitz Hbf - Berlin Hbf - Wünsdorf-Waldstadt - Elsterwerda (/ Finsterwalde (Niederlausitz)) (DB Regio Nordost)
RE6;Prignitz-Express: Wittenberge - Neuruppin West - Hennigsdorf (b Berlin) - Berlin Gesundbrunnen (DB Regio Nordost)
RE7;Dessau Hbf - Bad Belzig - Berlin-Wannsee - Berlin Hbf - Flughafen BER Terminal 1-2 - Wünsdorf-Waldstadt (DB Regio Nordost)
RE10;Cottbus Hbf - Finsterwalde (Niederlausitz) - Falkenberg (Elster) - Leipzig Hbf (DB Regio Nordost)
RE14;Falkenberg (Elster) - Lutherstadt Wittenberg Hbf - Dessau Hbf (DB Regio Südost)
RE15;Hoyerswerda - Ruhland - Großenhain Cottb Bf - Coswig - Dresden Hbf (DB Regio Nordost)
RE18;Cottbus Hbf - Senftenberg - Ruhland - Großenhain Cottb Bf - Coswig - Dresden Hbf (DB Regio Nordost)
RE66;Berlin Gesundbrunnen - Eberswalde Hbf - Angermünde - Tantow - Szczecin Główny (DB Regio Nordost)
RB10;Berlin Südkreuz - Berlin Hbf - Berlin-Spandau - Falkensee - Brieselang - Nauen (DB Regio Nordost)
RB11;Frankfurt (Oder) - Eisenhüttenstadt - Guben - Peitz Ost - Cottbus Hbf (DB Regio Nordost)
RB12;Berlin Ostkreuz - Oranienburg - Löwenberg (Mark) - Zehdenick (Mark) - Templin Stadt (NEB)
RB13;Berlin Jungfernheide - Berlin-Spandau - Staaken - Dallgow-Döberitz - Elstal - Wustermark (DB Regio Nordost)
RB14;Flughafen BER Terminal 1-2 - Berlin Ostkreuz - Berlin Hbf - Berlin-Spandau - Falkensee - Brieselang - Nauen (DB Regio Nordost)
RB20;Oranienburg - Hohen Neuendorf West - Hennigsdorf (b Berlin) - Golm - Potsdam Hbf (DB Regio Nordost)
RB21;(Berlin Friedrichstraße - Berlin-Wannsee -) Potsdam Hbf - Golm - Wustermark (DB Regio Nordost)
RB22;Berlin Friedrichstraße - Berlin-Wannsee - Potsdam Hbf - Golm - Flughafen BER Terminal 1-2 - Königs Wusterhausen (DB Regio Nordost)
RB23;Potsdam Hbf - Potsdam Pirschheide - Caputh-Geltow - Ferch-Lienewitz - Seddin - Michendorf (DB Regio Nordost)
RB24;Eberswalde Hbf - Bernau (b Berlin) - Berlin Ostkreuz - Lübben (Spreewald) - Calau (Niederlausitz) - Senftenberg (DB Regio Nordost)
RB25;Berlin Ostkreuz - Ahrensfelde - Blumberg (b Berlin) - Werneuchen (NEB)
RB26;Oderlandbahn: Berlin Ostkreuz - Strausberg - Müncheberg (Mark) - Werbig - Küstrin-Kietz - Kostrzyn (- Gorzów Wielkopolski) (NEB)
RB27;Heidekrautbahn: (Berlin-Gesundbrunnen -)/Berlin-Karow - Basdorf - Wandlitz - Groß Schönebeck / Wensickendorf (- Schmachtenhagen) (NEB)
RB31;Elsterwerda-Biehla - Elsterwerda - Großenhain Cottb Bf - Coswig - Dresden Hbf (DB Regio Nordost)
RB33;Berlin-Wannsee - Potsdam Medienstadt Babelsberg - Michendorf - Beelitz Stadt - Treuenbrietzen - Jüterbog (ODEG)
RB34;Rathenow - Großwudicke - Schönhausen (Elbe) - Hämerten - Stendal Hbf (HANS)
RB35;Fürstenwalde (Spree) - Fürstenwalde Süd - Bad Saarow - Bad Saarow-Pieskow (NEB)
RB36;Königs Wusterhausen - Storkow (Mark) - Beeskow - Müllrose - Frankfurt (Oder) (NEB)
RB43;Cottbus Hbf - Finsterwalde (Niederlausitz) - Doberlug-Kirchhain - Falkenberg (Elster) - Herzberg (Elster) (DB Regio Nordost)
RB45;Elsterwerda - Riesa - Döbeln Hbf - Chemnitz Hbf (Mitteldeutsche Regiobahn)
RB46;Cottbus Hbf - Cottbus-Sandow - Klinge - Forst (Lausitz) (ODEG)
RB49;Cottbus Hbf - Senftenberg - Ruhland - Elsterwerda-Biehla - Bad Liebenwerda - Falkenberg (Elster) (DB Regio Nordost)
RB51;Brandenburg Hbf - Pritzerbe - Premnitz Zentrum - Rathenow (ODEG)
RB54;(Berlin-Lichtenberg -) Löwenberg (Mark) - Herzberg (Mark) - Lindow (Mark) - Rheinsberg (Mark) (NEB)
RB55;Kremmen - Velten (Mark) - Hennigsdorf (DB Regio Nordost)
RB60;Eberswalde Hbf - Bad Freienwalde - Werbig - Frankfurt (Oder) (NEB)
RB61;Angermünde - Schwedt (Oder) (NEB)
RB62;Eberswalde Hbf - Angermünde - Prenzlau (NEB)
RB63;Schorfheide-Bahn: Eberswalde Hbf - Joachimsthal - Templin Stadt (NEB)
RB65;Cottbus Hbf - Spremberg - Görlitz - Zittau (ODEG)
RB66;Angermünde - Tantow - Szczecin Główny (DB Regio Nordost)
RB73;Neustadt (Dosse) - Kyritz Am Bürgerpark - Blumenthal (Mark) - Pritzwalk (HANS)
RB74;(Pritzwalk West -) Pritzwalk - Brügge (Prignitz) - Meyenburg (- Plau am See) (HANS)
RB91;Frankfurt (Oder) - Rzepin - Zielona Góra (POLREGIO)
RB93;Forst (Lausitz) - Żary - Żagań (- Wrocław Główny) (POLREGIO/KD)
S1;S-Bahn Mittelelbe: Wittenberge - Stendal Hbf - Magdeburg Hbf - Schönebeck-Bad Salzelmen (DB Regio Südost)
S2;S-Bahn Mitteldeutschland: (Jüterbog -) Lutherstadt Wittenberg Hbf - Bitterfeld - Delitzsch unt Bf - Leipzig Hbf - Leipzig-Stötteritz (DB Regio Südost)
S4;S-Bahn Mitteldeutschland: Hoyerswerda - Ruhland - Elsterwerda-Biehla - Falkenberg (Elster) - Leipzig Hbf - Markkleeberg-Gaschwitz (DB Regio Südost)
