Linie;Laufweg
7;Stadtverkehr Parchim CITY-Bus
54;Hagenow - Wittenburg - Zarrentin  (Bahnersatzverkehr)
58;Ludwigslust - Eldena - Malliß - Dömitz  (Bahnersatzverkehr)
77;Parchim - Lübz - Plau am See - Karow - Malchow (Bahnersatzverkehr)
100;Schwerin - Vorbeck - Leezen - Schwerin
101;Schwerin - Rampe - Cambs - Rubow - Ventschow
102;Schwerin - Rampe - Retgendorf - Flessenow - Rubow
103;Schwerin - Leezen - Crivitz - Weberin
104;Schwerin - Cambs - Zittow - Leezen - Vorbeck - Crivitz
112;Schwerin - Wittenförden - Wandrum - Gottesgabe
113;Schwerin - Stralendorf - Dümmer - Dümmerstück Hof
115;Schwerin - Pampow - Kothendorf - Lehmkuhlen - Schossin
117;Schwerin - Lübesse - Sülstorf - Kraak - Rastow
119;Schwerin - Banzkow - Mirow - Goldenstädt
121;Schwerin - Crivitz - Goldberg - Plau - Crivitz - Gädebehn
124;Schwerin - Crivitz - Demen - Venzkow
125;Schwerin - Crivitz - Bahlenbüschen
126;Schwerin - Crivitz - Barnin - Groß Niendorf - Runow
129;Crivitz - Zapel - Ruthenbeck
131;Crivitz - Tramm - Göhren
170;Sternberg - Brüel - Cambs - Schwerin
175;Sternberg - Blankenberg (Bahnersatzverkehr)
176;Sternberg - Brüel - Häven
177;Sternberg - Brüel - Wendorf
178;Sternberg - Jülchendorf
181;Sternberg - Penzin - Weiße Krug
182;Sternberg - Groß Raden - Klein Görnow
183;Sternberg - Goldberg (Bahnersatzverkehr)
184;Brüel - Sternberg - Dabel - Mestlin - Parchim
185;Sternberg - Witzin - Borkow - Lenzen
186;Sternberg - Stieten - Wamkow - Hohen Pritz - Kukow
500;Stadtverkehr Boizenburg
506;Kaarßen - Laave - Tripkau
507;Dömitz - Kaarßen - Neuhaus
508;Kaarßen - Neuhaus - Darchau Fähre
509;Neuhaus - Konau - Groß Kühren
510;Boizenburg - Neuhaus - Kaarßen
512;Neuhaus - Niendorf - Neu Bleckede
513;Neuhaus - Preten - Hühnerbusch
514;Hagenow - Brahlstorf - Neuhaus
515;Boizenburg - Lauenburg
516;Boizenburg - Lüneburg
520;Boizenburg - Vellahn - Hagenow
521;Boizenburg - Vellahn - Lübtheen
522;Hagenow - Setzin - Körchow - Wittenburg
523;Hagenow - Setzin - Körchow - Wittenburg
524;Vellahn - Melkhof - Brahlstorf - Dersenow
525;Boizenburg - Camin - Wittenburg
526;Vellahn - Boizenburg - Beckendorf - Bennin
527;Hühnerbusch - Tessin - Boizenburg
528;Vellahn - Albertinenhof - Vellahn
530;Boizenburg - Gallin - Nieklitz - Zarrentin
531;Boizenburg - Nostorf - Horst
532;Boizenburg - Gresse - Schwanheide - Zweedorf
533;Boizenburg - Holzkrug - Kogel - Zarrentin - Wittenburg
536;Zarrentin - Testorf - Valluhn
537;Wittenburg - Zarrentin - Lassahn - Stintenburger Hütte
540;Hagenow - Wittenburg - Zarrentin
541;Zarrentin - Dodow - Wittenburg
542;Wittenburg - Tessin - Bantin - Lassahn - Neuenkirchen
543;Wittenburg - Döbersen - Drönnewitz
544;Hagenow - Scharbow - Bobzin - Gammelin
545;Wittenburg - Lützow - Schwerin
546;Wittenburg - Woez
547;Wittenburg - Dreilützow - Dümmer
548;Wittenburg - Luckwitz - Harst - Hülseburg
550;Stadtverkehr Hagenow
555;Hagenow - Warsow - Pampow - Schwerin
556;Hagenow - Hülseburg - Bandenitz - Neu Zachun
557;Hagenow - Mühlenbeck - Lehmkuhlen - Groß Rogahn - Pampow
558;Hagenow - Gammelin - Zachun - Bobzin
560;Hagenow - Bresegard - Picher - Ludwigslust
561;Hagenow - Strohkirchen - Picher
562;Hagenow - Warlitz - Groß Krams - Picher
563;Hagenow - Goldenitz - Pritzier
565;Hagenow - Prizier - Lübtheen - Jessenitz - Kaarßen
566;Lübtheen - Benz - Neu Lübtheen
567;Lübtheen - Probst Jesar - Gößlow - Goldenitz - Lübtheen
568;Lübtheen - Garlitz - Gudow
570;Stadtverkehr Ludwigslust
575;Ludwigslust - Kummer - Pritzier
580;Ludwigslust - Eldena - Malliß - Dömitz
581;Notfahrplan der Linie 508 - Kaarßen - Neuhaus - Darchau Fähre
582;Dömitz - Seedorf - Lenzen
583;Ludwigslust - Göhren - Dömitz
584;Ludwigslust - Glaisin - Eldena - Dömitz
585;Ludwigslust - Kummer - Kenzlin - Loosen - Leussow
586;Ludwigslust - Hornkaten - Weselstorf - Kummer
587;Leussow - Tewswoos - Vielank - Heidhof - Dömitz
588;Leussow - Tewswoos - Vielank - Heidhof - Dömitz
590;Ludwigslust - Techentin - Grabow
591;Grabow - Dadow - Krohn - Grabow
592;Grabow - Zierzow - Klüß
595;Grabow - Groß Warnow - Steesow - Lenzen
596;Grabow - Krohn - Krinitz - Eldena - Ludwigslust
601;Neustadt-Glewe - Wöbbelin - Laasch - Ludwigslust
602;Rastow - Wöbbelin - Lüblow - Ludwigslust
603;Neustadt-Glewe - Brenz - Blievenstorf
604;Neustadt-Glewe - Friedrichsmoor - Neustadt-Glewe
700;Parchim - Lübz - Plau am See
701;Parchim - Friedrichsruhe - Groß Niendorf
702;Parchim - Wozinkel - Grebbin - Mestlin - Sternberg
703;Parchim - Siggelkow - Klein Pankow
704;Parchim - Groß Godems - Wulfsahl - Ziegendorf
705;Parchim - Stolpe - Barkow - Herzfeld
706;Parchim - Raduhn - Klinken - Crivitz - Schwerin
707;Parchim - Slate - Marnitz - Suckow
709;Parchim - Paarsch - Klein Niendorf - Rom - Lancken - Stralendorf
710;Parchim - Siggelkow - Poltnitz - Marnitz
711;Parchim - Lübz
712;Lübz - Plau am See
713;Parchim - Lübz - Goldberg - Güstrow
714;Lübz - Parchim - Schwerin
715;Lübz - Goldberg - Schwerin
716;Lübz - Goldberg - Dobbertin
717;Lübz - Gischow - Burow
718;Lübz - Granzin - Bahlenrade
719;Lübz - Neu Benthen - Tannenhof
721;Lübz - Benzin - Schlemmin
722;Lübz - Kreien - Wahlstorf - Klein Dammerow
725;Plau am See - Wangelin - Ganzlin
726;Plau am See - Zarchlin - Karow
727;Goldberg - Penzlin - Kl. Wangelin - Sandhof
729;Goldberg - Below - Techentin - Mühlenhof
730;Goldberg - Langenhagen - Below
731;Vietlübbe - Ganzlin - Hof Karbow
732;Lübz - Sehlsdorf - Gallin - Sandhof
733;Bahlenrade - Werder - Tannenhof - Passow
734;Parchim - Spornitz - Dütschow
735;Meyenburg - Plau am See - Krakow am See - Güstrow (Bahnersatzverkehr)
737;Dargelütz - Neuhofer Weiche - Parchim
740;Plau - Lübz - Schwerin
750;Zidderich - Goldberg - Lübz
750;Zidderich - Goldberg - Lübz
