Linie;Streckenverlauf;Verkehrsmitteltext;Kompakte Liniennummer
S1;Kirchheim (T) - Plochingen - Stuttgart - Herrenberg;0 - S-Bahn;10-1-j18
S2;Schorndorf - Stuttgart - Flughafen/Messe - Filderstadt;0 - S-Bahn;10-2-j18
S3;Backnang - Stuttgart - Flughafen/Messe;0 - S-Bahn;10-3-j18
S4;Backnang - Marbach - Stuttgart;0 - S-Bahn;10-4-j18
S5;Bietigheim-Bissingen - Stuttgart;0 - S-Bahn;10-5-j18
S6;Weil der Stadt - Leonberg - Stuttgart;0 - S-Bahn;10-6-j18
S11;Neckarpark - Stuttgart - Herrenberg (Stadionlinie) Kirchheim (T) - Plochingen - Stuttgart - Herrenberg;0 - S-Bahn;10-11-j18
S60;Böblingen - Renningen (- Stuttgart);0 - S-Bahn;10-60-j18
R1;Ulm - Göppingen - Plochingen - Stuttgart;1 - R-Bahn;11-1-j18
R2;Aalen - Schorndorf - Stuttgart;1 - R-Bahn;11-2-j18
R3;Crailsheim - Backnang - Stuttgart;1 - R-Bahn;11-3-j18
R4;Heilbronn - Bietigheim-Bissingen - Stuttgart;1 - R-Bahn;11-4-j18
R5;Pforzheim - Bietigheim-Bissingen - Stuttgart;1 - R-Bahn;11-5-j18
R7;Stuttgart - Herrenberg - Horb/Freudenstadt;1 - R-Bahn;11-7-j18
R8;Tübingen - Plochingen - Stuttgart;1 - R-Bahn;11-8-j18
R11;Kornwestheim - Untertürkheim;1 - R-Bahn;11-11-j18
R74;(Herrenberg -) Eutingen i. G. - Freudenstadt;1 - R-Bahn;11-74-j18
R81;Oberlenningen - Kirchheim (T);1 - R-Bahn;11-81-j18
R21;Oberndorf - Rudersberg - Schorndorf;1 - R-Bahn;12-21-j18
R61;Hemmingen - Korntal;1 - R-Bahn;12-61-j18
R73;Plochingen - Tübingen - Herrenberg;1 - R-Bahn;12-73-j18
R82;Neuffen - Nürtingen (Tälesbahn);1 - R-Bahn;12-82-j18
IC;Stuttgart - Herrenberg - Horb/Freudenstadt;16 - IC;15-7-j18
U1;Fellbach - Charlottenplatz - Vaihingen;2 - Stadtbahn;20-1-j18
U2;Neugereut - Charlottenplatz - Vogelsang - Botnang;2 - Stadtbahn;20-2-j18
U3;Plieningen - Möhringen - Vaihingen;2 - Stadtbahn;20-3-j18
U4;Untertürkheim - Charlottenplatz - Hölderlinplatz;2 - Stadtbahn;20-4-j18
U5;Killesberg - Hauptbahnhof - Möhringen - Leinfelden;2 - Stadtbahn;20-5-j18
U6;Gerlingen - Hauptbahnhof - Möhringen - Fasanenhof;2 - Stadtbahn;20-6-j18
U7;Mönchfeld - Hauptbahnhof - Ruhbank - Ostfildern;2 - Stadtbahn;20-7-j18
U8;Ostfildern - Heumaden - Möhringen - Vaihingen;2 - Stadtbahn;20-8-j18
U9;Hedelfingen - Charlottenplatz- Heslach Vogelrain Hedelfingen - Charlottenplatz - Heslach Vogelrain;2 - Stadtbahn;20-9-j18
U11;Hauptbahnhof - Rotebühlplatz - Charlottenplatz - NeckarPark (Stadion);2 - Stadtbahn;20-11-s-j18
