Linie;Laufweg
950;(Bonndorf -) Ewattingen - Wutach - Mundelfingen - Döggingen
7255;(Menzenschwand -) Seebrugg - Altglashütten < Bärental / Falkau > Titisee (- Neustadt)
7257;Seebrugg - Fischbach - Lenzkirch - Titisee - Neustadt
7258;Neustadt - Lenzkirch - Gündelwangen - Bonndorf
7259;SBG Wanderbus: Löffingen - Schattenmühle - Unadingen
7300;(Titisee - Feldberg -) Todtnau - Zell i. Wiesental (- Schopfheim)
7301;(Schwörstadt -) Rheinfelden - Wyhlen - Grenzach - Lörrach/- Basel Bad Bf
7313;Schopfheim - Schwörstadt
7317;Citybus Bad Säckingen Linie 1: Lohgerbe - Obersäckingen - Bremhag - Sonnenrain - Lohgerbe
3317;Citybus Bad Säckingen Linie 2: Lohgerbe - Kurgebiet - Lohgerbe
3217;Citybus Bad Säckingen Linie 3: Lohgerbe - Weststadt - Lohgerbe
7318;Waldshut - Dogern -/Unteralpfen - Birkingen - Buch - Albbruck
7319;St. Blasien - Häusern - Seebrugg
7320;Todtmoos - Wehr - Bad Säckingen
7321;St. Blasien - Menzenschwand - Bernau - St. Blasien/- Todtmoos
3321;Todtmoos - Herrenschwand - Präg - Todtnau
3221;St. Blasien - Ibach - Todtmoos
7322;Waldshut - Waldkirch - Höchenschwand - Häusern - St. Blasien
3322;Waldshut - Eschbach - Gaiss - Unteralpfen
3222;Höchenschwand - Attlisberg - Frohnschwand - Tiefenhäusern
7323;St. Blasien - Schlageten - Niedermühle
7324;St. Blasien - Ibach - Dachsberg - Rotzingen - Görwihl (- Albbruck - Waldshut)
3324;Görwihl - Niederwihl - Tiefenstein - Schachen - Albbruck (- Waldshut)
7325;StadtBus Laufenburg Linie 1: Ostbahnhof - Binzgen - Hochsal - Rotzel
3225;StadtBus Laufenburg Linie 2: Ostbahnhof - Grunholz - Luttingen - Stadenhausen - Ostbahnhof
7326;Bad Säckingen - Murg - Niederhof - Hänner (- Rickenbach)
7327;(Bad Säckingen -) Rickenbach - Görwihl - Herrischried - Rotzingen
7328;Bad Säckingen - Rickenbach - Herrischried - Todtmoos
7329;Wehr - Rickenbach - Hütten - Herrischried
7330;Laufenburg - Binzgen - Niederhof - Hänner
7331;(Waldshut -) Lauchringen - Griessen < Weisweil / Rechberg > Erzingen
7334;Waldshut - Albbruck - Laufenburg - Murg - Bad Säckingen
7335;Regiobus Bad Säckingen - Brennet - Wehr - Hasel - Schopfheim
3335;Brennet -/Hölzle - Enkendorf - Wehr - Zelg
7336;Waldshut Westring Busbahnhof - Krankenhaus - Liedermatte - Chilbiplatz - Busbahnhof
7337;Waldshut Nordring Busbahnhof - Chilbiplatz - Schmitzingen - Busbahnhof
7338;Waldshut - Lauchringen - Eggingen - Stühlingen - Fützen
7339;Waldshut Ostring Busbahnhof - Chilbiplatz - Aarberg - Busbahnhof
7340;Waldshut -/Tiengen - Kadelburg - Dangstetten - Reckingen - Hohentengen
3340;Lienheim - Bergöschingen - Hohentengen - Stetten
7341;Waldshut -/Tiengen - Gurtweil - Nöggenschwiel/- Indlekofen - Brunnardern
7342;Waldshut -/Tiengen - Gurtweil - (Berau -) Ühlingen - Grafenhausen - Seebrugg
3342;Ühlingen - Riedern am Wald (- Berau) -/Schönenbach - Buggenried - Mettenberg - Grafenhausen
3242;Waldshut -/Tiengen - Gurtweil - Berau - Brenden - Schönenbach
3142;Tiengen - Detzeln - Untermettingen - Ühlingen
7343;Bonndorf - Gündelwangen/- Grafenhausen - Seebrugg
7344;Bonndorf - Boll/- Lembach - Ewattingen (- Wutach Wutachmühle)
3344;Wanderbus Wutachschlucht: Holzschlag - Bonndorf - Schattenmühle - Bonndorf - Ewattingen - Wutach
7345;Waldshut - Tiengen - Detzeln - Untermettingen - Bettmaringen - Wellendingen - Bonndorf
3345;Tiengen - Detzeln - Aichen - Gurtweil - Tiengen
7346;Stühlingen  - Weizen < Oberwangen / Dillendorf > Wellendingen - Bonndorf
3346;Stühlingen - Weizen - Grimmelshofen - Lausheim
3246;Stühlingen < Untere Alp / Eggingen > - < Bettmaringen / Wittlekofen > Bonndorf
7347;Erzingen - Grießen - Dettighofen - Jestetten
3347;Jestetten - Lottstetten - Nack
3247;Jestetten  Altenburg - Jestetten
7348;Stadtverkehr Tiengen: Schulzentrum - Bahnhof - Mittlerer Berg - Stadtmitte - Schulzentrum
9051;FreizeitBus Menzenschwand - Äulemer Kreuz - Aha - Schluchsee
