Abk;Name
Ah;Arnhem
Ahg;Arnhem Goederenstation
Amf;Amersfoort
Amfs;Amersfoort Schothorst
Almo;Almere Oostvaarders
Aml;Almelo
Amr;Alkmaar
Apd;Apeldoorn
Apn;Alphen aan den Rijn
Asb;Amsterdam Bijlmer
Asd;Amsterdam Centraal
Asdma;Amsterdam Muiderpoort ASL
Asdta;Amsterdam Transformatorweg
Asdwpl;Amsterdam Werkplaats
Asn;Assen
Ass;Amsterdam Sloterdijk
At;Acht
Awhv;Amsterdam Westhaven
Bd;Breda
Bgn;Bergen op Zoom
Bkd;Amersfoort Bokkeduinen
Bkh;Binckhorst
Bkhn;Binckhorst Noord
Bkhz;Binckhorst Zuid
Bkl;Breukelen
Bkp;Blauwkapel
Bnva;Barneveld Aansluiting
Bon;Born
Bot;Botlek
Br;Blerick
Brn;Baarn
Btl;Boxtel
Bv;Beverwijk
Co;Coevorden
Cr;Crailoo
Ddn;Delden
Ddr;Dordrecht
Ddri;Dordrecht Aansluiting Industrieterrein De Staart
Dgr;Amsterdam Dijksgracht
Dld;Den Dolder
Dn;Deurne
Dt;Delft
Dtc;Doetinchem
Dv;Deventer
Dvaw;Duivendrecht Aansluiting West
Dvd;Duivendrecht
Dz;Delfzijl
Ed;Ede-Wageningen
Eem;Eemshaven
Ehv;Eindhoven
Ekz;Enkhuizen
Emn;Emmen
Erp;Europoort
Es;Enschede
Esta;Elst Aansluiting
Fo;Feijenoord
Gbr;Glanerbrug
Gd;Gouda
Gdg;Gouda Goverwelle
Gdm;Geldermalsen
Gn;Groningen
Gnl;Groningen Losplaats
Gs;Goes
Gv;Den Haag HS
Gvc;Den Haag Centraal
Han;Haanrade
Har;De Haar Aansluiting
Hde;‘t Harde
Hdr;Den Helder
Hfd;Hoofddorp
Hfdo;Hoofddorp Opstel
Hgl;Hengelo
Hgv;Hoogeveen
Hld;Hoek van Holland
Hlds;Hoek van Holland Strand
Hlg;Harlingen
Hlgh;Harlingen Haven
Hlm;Haarlem
Hlmw;Haarlem Hoofdwerkplaats (wgl-groep)
Hmla;Harmelen Aansluiting
Hn;Hoorn
Hnk;Hoorn Kersenboogerd
Hrl;Heerlen
Hsbda;Breda Aansluiting
Hsbdg;Breda Grens
Hszha;Zevenbergschehoek Aansluiting
Ht;’s Hertogenbosch
Hvs;Hilversum
Hwd;Heerhugowaard
IJsm;IJsselmonde Rangeerterrein
Kfh;Kijfhoek
Kpn;Kampen
Krd;Kerkrade
Ktr;Kesteren
Ldd;Leidschendam
Ledn;Leiden
Lls;Lelystad
Llso;Lelystad Opstelterrein
Lw;Leeuwarden
Lwd;Lewedorp
Mas;Maarssen
Mbga;Muiderberg ASL
Mdk;Moerdijk raccordementstamlijn
Mdsa;Muiderstraatweg Aansluiting
Mp;Meppel
Mrb;Mariënberg
Mrg;Maarn (GE)
Mss;Maassluis
Mt;Maastricht
Mtr;Maastricht Randwijck
Mvt;Maasvlakte
Ndb;Naarden-Bussum
Nm;Nijmegen
Nmge;Nijmegen Goederen
Nmrep;Nijmegen Opstel
Nsch;Nieuweschans
Nwh;Noordwijkerhout
O;Oss
Obpa;Overbrakepolder
Odz;Oldenzaal
On;Onnen
Onz;Onnen Zuid
Otw;Oosterhout raccordement Weststad
Pon;Amersfoort raccordement Pon
Ps;Pernis
Rd;Roodeschool
Rhn;Rhenen
Rlb;Rotterdam Lombardijen
Rm;Roermond
Rmo;Rotterdam Rechter Maasoever
Rsd;Roosendaal
Rtd;Rotterdam CS
Rtng;Rotterdam Noord Goederen
Rtst;Rotterdam Stadion
Sdm;Schiedam
Shl;Schiphol
Sloe;Sloehaven
Std;Sittard
Stv;Stavoren
Svg;Sas van Gent
Swd;Sauwerd
Swk;Steenwijk
Tb;Tilburg
Tbge;Tilburg Goederenemplacement
Tbu;Tilburg Universiteit
Tl;Tiel
Tnz;Terneuzen
Ut;Utrecht CS
Utcw;Utrecht Cartesiusweg
Utg;Uitgeest
Utge;Utrecht Goederen
Utls;Utrecht Landstraat
Utlw;Utrecht Lage Weide
Utm;Utrecht Maliebaan
Utoz;Utrecht Opstelterrein Zuid
Vam;VAM-terrein Wijster
Vdg;Vlaardingen Centrum
Vdm;Veendam
Vk;Valkenburg
Vl;Venlo
Vry;Venray
Vs;Vlissingen
Vspa;Venserpolder ASL
Wd;Woerden
Wdn;Wierden
Wgm;Watergraafsmeer
Whz;Rotterdam Waalhaven Zuid
Wp;Weesp
Wspl;Westelijke Splitsing
Wt;Weert
Ww;Winterswijk
Ypb;Den Haag Ypenburg
Zb;Zuidbroek
Zd;Zaandam
Zl;Zwolle
Zlw;Lage Zwaluwe
Zp;Zutphen
Zst;Amsterdam Zaanstraat
Zv;Zevenaar
Zvt;Zandvoort
Zwdl;Zwijndrecht Groote Lindt
Wr;Weener
Lar;Laarwald
Bh;Bad Bentheim
G;Gronau
Em;Emmerich
Kn;Kaldenkirchen
Dh;Dalheim
Hz;Herzogenrath
Fvs;Visé
Lnp;Neerpelt
Esn;Essen
Fsz;Zelzate
