Ort;Haltestelle;Abkürzung
Bonnewitz;Bonnewitz;BON
Borthen;Borthen;BTN
Boxdorf (Moritzburg);An der Triebe;ADT
Boxdorf (Moritzburg);Am Grunde;AGD
Boxdorf (Moritzburg);Am Weiher;AMW
Boxdorf (Moritzburg);Baumwiese;BAW
Boxdorf (Moritzburg);Bebelplatz;BEB
Boxdorf (Moritzburg);Ernst-Wagner-Straße;EWA
Boxdorf (Moritzburg);Feuerwehr Boxdorf;FBX
Boxdorf (Moritzburg);Querweg;QUW
Coswig (b Dresden);Auerstraße;AUE
Coswig (b Dresden);Coswig Zentrum/Börse;CWB
Coswig (b Dresden);Salzstraße VGM;EVSA
Coswig (b Dresden);Radebeuler Straße;RAD
Coswig (b Dresden);Rathaus Coswig;RCW
Coswig (b Dresden);Steinbacher Weg;SBW
Coswig (b Dresden);Salzstraße;SLZ
Dresden;A.-Weineck-Straße;AWK
Dresden;Aachener Straße;AAC
Dresden;Abzweig nach Reick;ABR
Dresden;Achtbeeteweg;ABW
Dresden;Adalbert-Stifter-Weg;AST
Dresden;Agentur für Arbeit;AFA
Dresden;Ahlbecker Straße;AHL
Dresden;Alaunplatz;ALA
Dresden;Alberthafen;ABH
Dresden;Albert-Hensel-Straße;AHS
Dresden;Albertplatz;ALP
Dresden;Albertstadt West;ASW
Dresden;Albert-Wolf-Platz;AWP
Dresden;Alexander-Puschkin-Platz;APU
Dresden;Alfred-Thiele-Straße;ATH
Dresden;Altburgstädtel;ABU
Dresden;Altcotta;ACO
Dresden;Altdobritz;ADB
Dresden;Altenberger Platz;ABP
Dresden;Altenberger Straße;ALB
Dresden;Alter Postweg;NIC
Dresden;Alter Schlachthof;ASH
Dresden;Altfranken;AFR
Dresden;Altkaditz;AKD
Dresden;Altkaitz;AKA
Dresden;Altklotzsche;AKL
Dresden;Altleuben;ALN
Dresden;Altleubnitz;ALZ
Dresden;Altlockwitz;ALO
Dresden;Altmarkt;AMT
Dresden;Altmockritz;AMO
Dresden;Altnaußlitz;ANA
Dresden;Altnickern;ANI
Dresden;Altnossener Straße;ANS
Dresden;Altomsewitz;AOM
Dresden;Altpieschen;API
Dresden;Altplauen;APL
Dresden;Altreick;ARE
Dresden;Altstrehlen;EALS
Dresden;Alttolkewitz;ATO
Dresden;Alttrachau;ATR
Dresden;Altwachwitz;AWW
Dresden;Altwilschdorf;AWD
Dresden;Am Altfrankener Park;AAP
Dresden;Am Anger;AAN
Dresden;Am Brüchigt;ABT
Dresden;Am Festspielhaus;AFE
Dresden;Am Galgenberg;AGB
Dresden;Am Hellerhof;AHH
Dresden;Am Hellerrand;AHR
Dresden;Am Krähenhügel;AKH
