PLC;RL100-Code;RL100-Langname;RL100-Kurzname;Typ Kurz;Typ Lang;Betriebszustand;Datum ab;Datum bis;Niederlassung;Regionalbereich;Letzte Änderung
DE13703;SGRB;Gerolstein Basalt;Gerolst Basalt;AWAN;Awanst;Betrieb;20081214;;5;Mitte;20200701
DE13704;SGRG;Gerolstein DB-Grenze;Gerolstein DB-Gr;GP;Gp;Betrieb;20131024;;5;Mitte;20200701
DE13705;SGRL;Gerolstein Lokschuppen;Gerolstein Lok;vp-HP;vp-Hp;Betrieb;20110409;;5;Mitte;20200701
DE14098;SGRO;Großrosseln;Großrosseln;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE15657;SGS;Koblenz-Güls;Koblenz-Güls;HP;Hp;Betrieb;20200401;;5;Mitte;20201029
DE15332;SGSZ;Kaiserslautern Galgenschanze;Galgenschanze;HP;Hp;Betrieb;20081214;;6;Südwest;20200701
DE14210;SGU;Gusterath;Gusterath;ANST;Anst;a.B.;20200401;;5;Mitte;20201029
DE13717;SGW;Gersweiler;Gersweiler;BF;Bf;a.B.;20200401;;6;Südwest;20201029
DE14634;SHAM;Hauenstein Mitte;Hauenstein Mitte;HP;Hp;Betrieb;20091213;;6;Südwest;20200701
DE14633;SHAU;Hauenstein (Pfalz);Hauenstein/Pfalz;HP;Hp;Betrieb;20081214;;6;Südwest;20200701
DE14720;SHB;Heimbach (Nahe);Heimbach (Nahe);BF;Bf;Betrieb;20210701;;6;Südwest;20210701
DE14721;SHBG;Heimbach DB/RPE;Heimbach DB/RPE;GP;Gp;Betrieb;20201001;;6;Südwest;20210701
DE14722;SHBO;Heimbach Ort;Heimbach Ort;AWAN;Awanst;Betrieb;20201001;;5;Mitte;20201119
DE15127;SHCH;Hostenbach;Hostenbach;vp-BF;vp-Bf;Betrieb;20200401;;6;Südwest;20201029
DE14949;SHD;Hochscheid;Hochscheid;ANST;Anst;Betrieb;20210701;;6;Südwest;20210701
DE17128;SHDZ;Morbach Zolleiche;Zolleiche;BF;Bf;Betrieb;20210701;;6;Südwest;20210701
DE25172;SHED;Heddesheim (Nahe);Heddeshm (Nahe);HP;Hp;Planung;20210301;20211211;5;Mitte;20210219
DE14756;SHEM;Hemmersdorf (Saar);Hemmersd.(Saar);BF;Bf;Betrieb;20200401;;6;Südwest;20201029
;SHEN;Hentern;Hentern;MUSE;Museum;Betrieb;20000416;;0;;20200701
DE14975;SHFD;Hofeld;Hofeld;HP;Hp;Betrieb;20200401;;6;Südwest;20201029
DE15006;SHFS;Hohenfels (Eifel);Hohenfels;vp-HP;vp-Hp;Betrieb;20090210;;5;Mitte;20210701
DE14927;SHIF;Hirschfeld (Hunsrück);Hirschfd/Hunsr;ANST;Anst;a.B.;20201001;;5;Mitte;20201119
DE14933;SHIH;Hirschhorn (Pfalz);Hirschhorn (Pf);HP;Hp;Betrieb;20081214;;6;Südwest;20200701
DE14921;SHIZ;Hinzerath;Hinzerath;ANST;Anst;Betrieb;20210701;;6;Südwest;20210701
DE14812;SHK;Hermeskeil;Hermeskeil;vp-BF;vp-Bf;Betrieb;20210701;;6;Südwest;20210701
;SHK D;Hermeskeil Donatisplatz;Hermesk Donatisp;BUSH;Bush;Betrieb;19990101;;0;;20200701
DE15035;SHMA;Höhmühlbach                     (Awanst);Höhmühlbach Awst;AWAN;Awanst;Betrieb;20030101;;6;Südwest;20200701
DE15034;SHMB;Höhmühlbach;Höhmühlbach;HP;Hp;Betrieb;20081214;;6;Südwest;20200701
DE14575;SHN;Hanweiler-Bad Rilchingen;Hanw-Bad Rilchgn;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE15072;SHO;Homburg (Saar) Hbf;Homburg(Saar)Hbf;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE15071;SHOB;Homburg (Saar) Beeden;Homburg/Saar Be.;HP;Hp;a.B.;20200401;;6;Südwest;20201029
DE14638;SHPG;Hauptstuhl DB/Gleisanschluss Miesau;Haupt DB/Miesau;GP;Gp;Betrieb;20200401;;6;Südwest;20201029
DE15085;SHPS;Hoppstädten (Nahe);Hoppstädten/Nahe;HP;Hp;Betrieb;20210701;;6;Südwest;20210701
DE14637;SHPT;Hauptstuhl;Hauptstuhl;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
;SHPW;Haupersweiler;Haupersweiler;MUSE;Museum;Betrieb;20010601;;0;;20200701
DE14877;SHR;Hetzerath;Hetzerath;BF;Bf;Betrieb;20200401;;5;Mitte;20201029
DE14959;SHS;Hochstetten (Nahe);Hochstetten/Nahe;HP;Hp;Betrieb;20210701;;6;Südwest;20210701
DE14614;SHSS;Hassel (Saar);Hassel (Saar);HP;Hp;Betrieb;20081214;;6;Südwest;20200701
DE14958;SHST;Hochstätten (Pfalz);Hochstätten/Pf;HP;Hp;Betrieb;20210701;;6;Südwest;20210701
DE15157;SHT;Hüttingen;Hüttingen;HP;Hp;Betrieb;20081214;;5;Mitte;20210701
DE14917;SHW;Hinterweidenthal Ost;H'weidenthal Ost;BF;Bf;Betrieb;20111211;;6;Südwest;20200701
DE14916;SHWG;Hinterweidenthal DB/AVG;Hweident DB/AVG;GP;Gp;Betrieb;20101212;;6;Südwest;20200701
;SHWO;Hinterweidenthal Ort;Hinterweidnt Ort;NE-BF;NE-Bf;Betrieb;20081214;;0;;20200701
DE14915;SHWP;Hinterweidenthal;H'weidenthal Hp;HP;Hp;Betrieb;20081214;;6;Südwest;20200701
DE14883;SHWR;Heusweiler;Heusweiler;ANST;Anst;a.B.;20200401;;6;Südwest;20201029
DE13702;SGR;Gerolstein;Gerolstein;BF;Bf;Betrieb;20081214;;5;Mitte;20200701
DE25025;SWIX;Wittlich Technikstandort;Wittlich TSO;;TSO;Planung;20210601;;5;Mitte;20210601
DE21085;SWK;Wiebelskirchen;Wiebelskirchen;HP;Hp;Betrieb;20200401;;6;Südwest;20201029
DE20718;SWL;Walhausen (Saar);Walhausen (Saar);HP;Hp;Betrieb;20200401;;6;Südwest;20201029
DE20959;SWN;Wellen (Mosel);Wellen (Mosel);BF;Bf;Betrieb;20200401;;5;Mitte;20201029
DE21200;SWNW;Winnweiler;Winnweiler;BF;Bf;Betrieb;20081214;;0;;20201001
DE21265;SWOW;Wolfersweiler;Wolfersweiler;ANST;Anst;a.B.;20201213;;6;Südwest;20201213
DE20971;SWR;Wemmetsweiler;Wemmetsweiler;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE20973;SWR E;Wemmetsweiler Kurve Einmündung;Em Wemmets Kurve;BFT;Bft;Betrieb;20081214;;6;Südwest;20201029
DE20972;SWR K;Wemmetsweiler Kurve;Wemmetsw Kurve;BFT;Bft;Betrieb;20081214;;6;Südwest;20201029
DE20991;SWRN;Werbeln;Werbeln;HP;Hp;a.B.;20200401;;6;Südwest;20201029
DE20974;SWRR;Wemmetsweiler Rathaus;Wemmetsw Rathaus;BFT;Bft;Betrieb;20200401;;6;Südwest;20201029
DE21413;SWU;Wustweiler;Wustweiler;HP;Hp;Betrieb;20200401;;6;Südwest;20201029
;SWW;Werschweiler;Werschweiler;MUSE;Museum;Betrieb;20020423;;0;;20200701
DE14574;SXHA;Hanweiler Grenze;Hanweiler Grenze;GP;Gp;Betrieb;20200401;;6;Südwest;20201029
DE14757;SXHE;Hemmersdorf (Saar) Grenze;Hemmersdorf Gr;GP;Gp;Betrieb;20200401;;6;Südwest;20201029
DE15185;SXIG;Igel Grenze;Igel Grenze;GP;Gp;Betrieb;20200401;;5;Mitte;20201029
DE18314;SXPE;Perl Grenze;Perl Grenze;GP;Gp;Betrieb;20200401;;5;Mitte;20201029
DE18759;SXRH;Reinheim (Saar) Grenze;Reinheim Grenze;GP;Gp;Betrieb;20040316;;6;Südwest;20201029
DE19152;SXSD;Saarbrücken Grenze;Saarbrücken Gr;GP;Gp;Betrieb;20200401;;6;Südwest;20201029
DE20415;SXU;Überherrn Grenze;Überherrn Gr;GP;Gp;a.B.;20200401;;6;Südwest;20201029
DE21464;SZF;Zerf;Zerf;BF;Bf;a.B.;20200401;;5;Mitte;20201029
;SZL;Zell (Mosel);Zell (Mosel);SLST;Slst;Betrieb;19990101;;0;;20200701
;SZTR;Zeltingen-Rachtig;Zeltingen-Racht;SLST;Slst;Betrieb;19990101;;0;;20200701
DE21538;SZW;Zweibrücken Hbf;Zweibrücken Hbf;BF;Bf;Betrieb;20201001;;6;Südwest;20201001
DE21540;SZWI;Zweibrücken-Ixheim;Zweibr.-Ixheim;HST;Hp Anst;a.B.;20030101;;6;Südwest;20200701
;SZWN;Zweibrücken-Niederauerbach;Zwbr-Niederauerb;TP;Tp;Betrieb;19990101;;0;;20200701
DE21541;SZWR;Zweibrücken-Rosengarten;Zwbr-Rosengarten;HP;Hp;Planung;20161020;20210817;6;Südwest;20201127
;SZWZ;Zweibrücken ZOB;Zweibrücken ZOB;BUSH;Bush;Betrieb;19990101;;0;;20200701
DE10017;TA;Aalen Hbf;Aalen Hbf;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE24672;TAAX;Dornstadt Albabstieg ESTW-A;Albabstieg ESTW;BZ;BZ;Planung;20200401;;6;Südwest;20201029
DE10139;TACH;Altbach;Altbach;HP;Hp;Betrieb;20200401;;6;Südwest;20201029
DE10140;TACHF;Altbach                          (Fernb);Altbach F;HP;Hp;Betrieb;20081214;;6;Südwest;20201029
DE10038;TAD;Adelsheim Ost;Adelsheim Ost;HP;Hp;Betrieb;20200401;;6;Südwest;20201029
DE10094;TAE;Albstadt-Ebingen;Albstadt-Ebingen;BF;Bf;Betrieb;20081214;;6;Südwest;20201201
DE10095;TAEW;Albstadt-Ebingen West;Albst-Ebing West;BF;Bf;Betrieb;20081214;;6;Südwest;20210701
DE10044;TAF;Affaltrach;Affaltrach;HP;Hp;Betrieb;20200401;;6;Südwest;20201029
;TAG;Altingen (Württ);Altingen (Württ);NE-HP;NE-Hp;Betrieb;20081214;;0;;20200701
DE10079;TAI;Aichstetten;Aichstetten;BF;Bf;Betrieb;20201001;;7;Süd;20201029
DE19714;TAIB;Sersheim Aischbach;Aischbach;ABZW;Abzw;Betrieb;20200401;;6;Südwest;20201029
DE10080;TAIS;Aichstetten Shell;Shell;AWAN;Awanst;Betrieb;20201001;;7;Süd;20201029
DE10096;TAL;Albstadt-Laufen;Albstadt-Laufen;BF;Bf;Betrieb;20081214;;6;Südwest;20200701
DE10102;TALD;Aldingen (b Spaichingen);Aldingen b Spai;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE10118;TALL;Allmendingen;Allmendingen;BF;Bf;Betrieb;20081214;;6;Südwest;20210701
DE10097;TALO;Albstadt-Laufen Ort;Albst-Laufen Ort;HP;Hp;Betrieb;20081214;;6;Südwest;20210701
