BANENR;TIB;HVDSTRK;STRKAFS;TRINBRAET;NAVN;FORKORTELSE;FRAKM;TILKM;STATIONSMIDTE;BANEKLASSE;BTRTYPE;BEMAERKNING;SORT_ORDER;FILTER
11a;1,6,10,11;1;11000;;København H;Kh;0;1,685;0;Hovedbane;Station;;1;STED
11a;1;1;12002;;København H - Hvidovre Fjern;Kh-Hif;1,685;6,23;;Hovedbane;Fri Bane;;2;3
11a;1;1;12002;12003;Valby;Val;;;3,925;Hovedbane;Trinbræt;;3;STED
11a;1,11;1;12007;;Hvidovre Fjern;Hif;6,23;8,37;7,3;Hovedbane;Teknisk Station;;4;STED
11a;1;1;12010;;Hvidovre Fjern - Glostrup;Hif-Gl;8,37;10,594;;Hovedbane;Fri Bane;;5;4
11a;1;1;12011;;Glostrup;Gl;10,594;12,526;11,214;Hovedbane;Station;;6;STED
11a;1;1;12014;;Glostrup - Høje Taastrup;Gl-Htå;12,526;18,204;;Hovedbane;Fri Bane;;7;3
11b;1;1;12019;;Høje Taastrup;Htå;18,204;20,987;19,5;Hovedbane;Station;;8;STED
11b;;1;12519;;Høje Taastrup kombiterminal;Htås;20,92;22,005;;Hovedbane;Kombiterminal;;9;STED
11b;1;1;12022;;Høje Taastrup - Roskilde;Htå-Ro;20,987;30,089;;Hovedbane;Fri Bane;;10;4
11b;1;1;12022;12025;Hedehusene;Hh;;;24,176;Hovedbane;Trinbræt;;11;STED
11b;1;1;12022;12029;Trekroner;Trk;;;28,3;Hovedbane;Trinbræt;;12;STED
11b;1,4,5;1;13000;;Roskilde;Ro;30,089;32,927;31,253;Hovedbane;Station;;13;STED
12;1;1;14034;;Roskilde - Viby Sjælland;Ro-Vy;32,927;41,592;;Hovedbane;Fri Bane;;14;3
12;1;1;14043;;Viby Sjælland;Vy;41,592;43,547;42,475;Hovedbane;Station;;15;STED
12;1;1;14044;;Viby Sjælland - Borup;Vy-Bo;43,547;48,802;;Hovedbane;Fri Bane;;16;3
12;1;1;14049;;Borup;Bo;48,802;50,55;49,725;Hovedbane;Station;;17;STED
12;1;1;14052;;Borup - Kværkeby;Bo-Ky;50,55;55,913;;Hovedbane;Fri Bane;;18;3
12;1;1;14057;;Kværkeby;Ky;55,913;57,781;56,605;Hovedbane;Teknisk Station;;19;STED
12;1;1;14058;;Kværkeby - Ringsted;Ky-Rg;57,781;61,494;;Hovedbane;Fri Bane;;20;3
12;1,2,6;1;15000;;Ringsted;Rg;61,494;65,332;63,904;Hovedbane;Station;;21;STED
13;1;1;16066;;Ringsted - Fjenneslev;Rg-Fj;65,332;70,608;;Hovedbane;Fri Bane;;22;3
13;1;1;16071;;Fjenneslev;Fj;70,608;72,792;71,5;Hovedbane;Teknisk Station;;23;STED
13;1;1;16074;;Fjenneslev - Sorø;Fj-So;72,792;77,555;;Hovedbane;Fri Bane;;24;3
13;1;1;16079;;Sorø;So;77,555;79,505;78,342;Hovedbane;Station;;25;STED
13;1;1;16080;;Sorø - Slagelse;So-Sg;79,505;91,803;;Hovedbane;Fri Bane;;26;3
13;1,615;1;16093;;Slagelse;Sg;91,803;94,169;92,91;Hovedbane;Station;;28;STED
13;1;1;16096;;Slagelse - Forlev;Sg-Fo;94,169;99,604;;Hovedbane;Fri Bane;;29;3
13;1;1;16101;;Forlev;Fo;99,604;101,803;100;Hovedbane;Teknisk Station;;30;STED
13;1;1;16102;;Forlev - Korsør;Fo-Kø;101,803;107,183;;Hovedbane;Fri Bane;;31;3
14;1;1;16111;;Korsør;Kø;107,183;109,882;108,268;Hovedbane;Station;;32;STED
14;1;1;16114;;Korsør - Sprogø;Kø-Spr;109,882;119,401;;Hovedbane;Fri Bane;;33;3
14;1;1;16121;;Sprogø;Spr;119,401;121,579;120,2;Hovedbane;Teknisk Station;;34;STED
14;1;1;16124;;Sprogø - Nyborg;Spr-Ng;121,579;129,843;;Hovedbane;Fri Bane;;35;4
14;1;1;16127;;Nyborg;Ng;129,843;132,968;131,6;Hovedbane;Station;;36;STED
20;6;2;20006;;Vigerslev - Avedøre Havnevej;Ig-Avh;6,33;9,061;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;37;3
20;6;2;20009;;Avedøre Havnevej;Avh;9,061;9,201;9,131;Hovedbane;Teknisk Station;Ig-Rg, ATC 072008 i ProArc 020999;38;STED
20;6;2;20010;;Avedøre Havnevej - Kildebrønde;Avh-Kib;9,201;20,82;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;39;4
20;6;2;20021;;Kildebrønde;Kib;20,82;22,552;21,686;Hovedbane;Teknisk Station;Ig-Rg, ATC 072008 i ProArc 020999;40;STED
20;6;2;20024;;Kildebrønde - Jersie Fjern;Kib-Jsf;22,552;31,966;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;41;4
20;6;2;20033;;Jersie Fjern;Jsf;31,966;33,529;32,748;Hovedbane;Teknisk Station;Ig-Rg, ATC 072008 i ProArc 020999;42;STED
20;6;2;20034;;Jersie Fjern - Køge Nord;Jsf-Kjn;33,529;34,092;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;43;4
20;6;2;21000;;Køge Nord;Kjn;34,092;36,426;35,306;Hovedbane;Station;Ig-Rg, ATC 072008 i ProArc 020999;44;STED
20;6;2;21036;;Køge Nord - Lellinge;Kjn-Lel;36,426;38,912;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;45;4
20;6;2;21039;;Lellinge;Lel;38,912;40,213;39,563;Hovedbane;Teknisk Station;Ig-Rg, ATC 072008 i ProArc 020999;46;STED
20;6;2;21042;;Lellinge - Bjæverskov;Lel-Bjs;40,213;45,237;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;47;4
20;6;2;21047;;Bjæverskov;Bjs;45,237;46,957;46,097;Hovedbane;Teknisk Station;Ig-Rg, ATC 072008 i ProArc 020999;48;STED
20;6;2;21048;;Bjæverskov - Ringsted;Bjs-Rg;46,957;59,186;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;49;4
20;6;2;21048;21059;Adamshøj;Ada;58,67;58,97;58,82;Hovedbane;Teknisk Lokation;Ig-Rg, ATC 072008 i ProArc 020999;50;STED
21;2;2;22066;;Ringsted - Næstved;Rg-Næ;66,325;89,495;;Regionalbane;Fri Bane;(Ny slut-km er 89,546)  Ændres ved Mbæ ibrug 2028;51;3
21;2;2;22066;22075;Glumsø;Gz;;;75,984;Regionalbane;Trinbræt;Nyt Trinbræt;52;STED
21;2,4;2;23000;;Næstved;Næ;89,495;93,132;90,706;Regionalbane;Station;Km ændres efter ERTMS i 2020;53;STED
21;2;2;24096;;Næstved - Lundby;Næ-Lu;93,132;105,272;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;54;3
21;2;2;24109;;Lundby;Lu;105,272;107,072;106,689;Regionalbane;Station;Km ændres efter ERTMS i 2020;56;STED
21;2;2;24110;;Lundby - Vordingborg;Lu-Vo;107,072;116,622;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;57;3
21;2;2;24121;;Vordingborg;Vo;116,622;119,366;118,073;Regionalbane;Station;Km ændres efter ERTMS i 2020;58;STED
21;2;2;24122;;Vordingborg - Masnedø;Vo-Mn;119,366;121,237;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;59;3
21;2;2;24123;;Masnedø;Mn;121,237;122,668;121,9;Regionalbane;Teknisk Station;Km ændres efter ERTMS i 2020;60;STED
21;2;2;24124;;Masnedø - Orehoved;Mn-Oh;122,668;126,668;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;61;3
21;2;2;26003;;Orehoved;Oh;126,668;128,525;127,323;Regionalbane;Teknisk Station;Km ændres efter ERTMS i 2020;62;STED
