Abk;Name;UIC
A;Augsburg Hbf;8000013
AA;Aalen;8000002
AB;Aschaffenburg Hbf;8000010
ABG;Altenburg;8010003
AC;Aachen Hbf;8000001
ACGR;Aachen Süd(Gr);8000403
ADE;Adelebsen;8000418
ADO;Adorf(Vogtl);8010001
ALT;Altenbeken;8000004
AN;Ansbach;8000009
AND;Andernach;8000331
ANG;Angermünde;8010004
APO;Apolda;8011051
ARD;Arnsdorf(Dresden);8010006
ARN;Arnstadt Hbf;8010007
ASCH;Ascheberg(Holst);8000011
ASL;Aschersleben;8010009
AU;Aue(Sachs);8010010
AUL;Aulendorf;8000014
AUS;Au(Sieg);8000012
AZ;Alzey;8000007
B;BERLIN = (innerhalb Ring + Lichtenberg);8096003
BA;Bamberg;8000025
BAAL;Baalberge;8010013
BAB;Babenhausen(Hess);8000015
BACK;Backnang;8000016
BAD;Baden-Baden;8000774
BALI;Bad Liebenwerda;8011078
BAS;Basel Bad Bf;8000026
BB;Böblingen;8001055
BBG;Bernburg;8010043
BCH;Berlin-Eichkamp;8089328
BEB;Bebra;8000029
BED;Bedburg(Erft);8000030
BEGR;Bad Bentheim;8000879
BELZ;Belzig;8010031
BENS;Bensheim;8000031
BER;Bernau(b Berlin);8013470
BETZ;Betzdorf(Sieg);8000034
BF;Burgsteinfurt;8000062
BHV;Bremerhaven Hbf;8000051
BI;Bielefeld Hbf;8000036
BIET;Bietigheim-Bissingen;8000038
BILL;Billerbeck;8000970
BIN;Bingen(Rhein) Hbf;8000039
BIW;Bischofswerda;8010049
BIZ;Biederitz;8010047
BKH;Berlin-Karlshorst;8010035
BKL;Bad Kleinen;8010018
BLAM;Blankenberg(Meckl);8010051
BLF;Blankenf(Teltow-Fl);8010053
BLG;Bad Blankenburg(Th);8010014
BLH;Blankenheim(Sangerh);8010054
BLI;Berlin-Lichtenberg;8010036
BLUM;Blumenberg;8010056
BN;Bonn Hbf;8000044
BNG;Burg-u.Ndr Gemünden;8000061
BO;Bochum Hbf;8000041
BOB;Berlin Ostbahnhof;8010255
BOH;Bocholt;8000040
BOP;Boppard;8000045
BOR;Borken(Westf);8000346
BORS;Borsdorf(Sachs);8010059
BOT;Bottrop Hbf;8000047
BR;Bruchsal;8000055
BRAC;Brackwede;8000048
BRB;Brandenburg Hbf;8010060
BRE;Bretleben;8010061
BRI;Brilon Wald;8000054
BRIT;Britz;8010064
BRT;Bretten;8000053
BS;Braunschweig Hbf;8000049
BSFL;Berlin-Schönef.Flug;8010109
BSP;Berlin-Spandau;8010404
BST;Ballenstedt Ost;8013441
BSU;Bad Schandau;8010022
BT;Bayreuth Hbf;8000028
BTF;Bitterfeld;8010050
BUCH;Buchholz(Nordheide);8000056
BUE;Büchen;8000058
BUEN;Bünde(Westf);8000059
BUEZ;Bützow;8010066
BULO;Buchloe;8000057
BUNA;Buna Werke;8013473
BUT;Buttstädt;8011304
BWA;Berlin Warschauer St;8089045
BY;Barby;8010024
BZ;Bautzen;8010026
BZG;Berlin Zoolg. Garten;8010406
C;Chemnitz Hbf;8010184
CA;Calau(NL);8010069
CALO;Calbe(Saale) Ost;8010070
CALW;Calbe(Saale) West;8010071
CAMB;Camburg(Saale);8013474
CB;Cottbus;8010073
CE;Celle;8000064
COE;Coesfeld(Westf);8000066
COEL;Cölbe;8000065
COS;Coswig(Anh);8011322
COSD;Coswig(Dresden) = Coswig od Neucoswig;8010072
CR;Crailsheim;8000067
CW;Calw;8000063
D;Düsseldorf Hbf;8000085
DA;Darmstadt Hbf;8000068
