Abkürzung;Haltestelle
ADWA;An den Wadehängen
ALFR;Alter Friedhof
ALGA;Alte Gärtnerei
AMDW;Am Dwang
AMFA;Am Fasanenhof
AMFE;Am Fernsehturm
AMGR;Am Grünen Tal
AMIM;Am Immensoll
AMNS;Am Neumühler See
AMSE;Amselweg
AMT;Amtstraße
AMTA;Am Tannenhof
AMTR;Am Treppenberg
AMWA;Am Wasserturm
AMWE;Am Wochenend
BARL;Barlower Weg
BART;Barther Straße
BAU;Baustraße
BEL;Robert-Beltz-Straße
BERG;Bergstraße
BLUM;Blumenbrink
BOLK;Ludwig-Bölkow-Straße
BPL;Berliner Platz
BRAH;Johannes-Brahms-Straße
BREM;Bremsweg
BTHF;Betriebshof NVS
BUCH;Buchenweg
BUD;Büdnerstraße
CARL;Carlshöhe
DOHL;Dohlenweg
DRM;Dreescher Markt
DROS;Drosselstraße
ECKD;Eckdrift
ELLE;Ellerried
EUKI;Eutiner/Kieler Straße
EUTI;Eutiner Straße
FAHW;Fährweg
FLB;Freilichtbühne
FOKK;Anthony-Fokker-Straße
FORH;Forsthof
FREI;Freilichtmuseum
FRIE;Friesensportplatz
FRST;Friedrichstraße
FRTL;Friedrichsthal
FUNK;Funkhaus
GAFR;Gaststätte Friedrichsthal
GART;Gartenstadt
GARW;Gärtnereiweg
GBRU;Görries Brücke
GOTA;Göhrener Tannen
GRAB;Grabenstraße
GREI;Greifswalder Straße
GRME;Groß Medewege
GSCH;Geschwister-Scholl-Straße
GUER;Otto-von-Guericke-Straße
GUST;Güstrower Straße
GYOR;Graf-Yorck-Straße
GZEN;Görries Zentrum
HAFE;Hafenstraße
HAGE;Hagenower Chaussee
HAND;Handelsstraße
HANK;Marie-Hankel-Straße
HANS;Hansestraße
HASE;Haselholz
HASS;Haselholzstraße
HBF;Hauptbahnhof
HBFP;Hauptbahnhof P+R
HEG;Hegelstraße
HEIZ;Heizkraftwerk
HENN;Wilhelm-Hennemann-Straße
HOSP;Hospitalstraße
HUHU;Hundorf, Hundorfer Straße
HUND;Hundorf
HUSI;Hundorf, Siedlung
JUHE;Jugendherberge
KANT;Kantstraße
KEP;Keplerstraße
KIEL;Kieler Straße
KIND;Kinderzentrum
KLBU;Klein Buchholz
KLI;Kliniken
KNAU;Knaudtstraße
KOCH;Robert-Koch-Straße
KONG;Kongresshalle
KPL;Bertha-Klingberg-Platz
KRBA;Krebsbach
KREB;Krebsförden
KRED;Krebsförden Dorf
KROS;Krösnitz
LAMB;Lambrechtsgrund
LAND;Landreiterstraße
LANG;Langer Berg
LASI;Lankow-Siedlung
LEIB;Leibnizstraße
LERC;Lerchenstraße
LESS;Lessingstraße
LEW;Lewenberg
LISS;Lischstraße
LORT;Lortzingstraße
LUDW;Ludwigsluster Chaussee
LUKL;Lübstorf, Klinik
LUSC;Lübstorf, Schule
LUSW;Lübstorf, Schloss Wiligrad
LUWE;Lübstorf, Wendeplatz
LUWI;Lübstorf, Wiligrader Straße
MAGD;Magdeburger Straße
MARG;Margaretenhof
MARS;Marstall
MPL;Marienplatz
MUAU;Mueß Ausbau
MUBU;Mueßer Bucht
MUDI;Mueßer Dickt
NEUP;Neu Pampow
NEUZ;Neu Zippendorf
OST;Ostorf
PARK;Parkweg
PASE;Pasewalker Straße
PAUW;Paulsdammer Weg
PDF;Platz der Freiheit
PDJ;Platz der Jugend
PEST;Pestalozzistraße
PING;Pingelshagen
PLAT;Plater Straße
RAGA;Rahlstedter/Gadebuscher Straße
RAHL;Rahlstedter Straße
RAKI;Rahlstedter/Kieler Straße
RAST;Raben Steinfeld
RATH;Walther-Rathenau-Straße
RATZ;Ratzeburger Straße
ROSE;Rosenstraße
RSOB;Raben Steinfeld, Oberdorf
SACH;Andrej-Sacharow-Straße
SAMI;Sacktannen Mitte
SASU;Sacktannen Süd
SBLI;Schlossblick / IHK
SCHL;Friedrich-Schlie-Straße
SCHM;Schelfmarkt
SEEH;Seehof
SEEL;Werner-Seelenbinder-Straße
SEID;Heinrich-Seidel-Straße
SIEM;Siemensplatz
SLOS;Schloss / Theater
SMUH;Schleifmühle
SPEI;Speicherstraße
SPPA;Sportpark
SSPA;Sieben-Seen-Park
STAD;Stadthaus
STAU;Stauffenbergstraße
STBU;Stern Buchholz
STEL;Johannes-Stelling-Straße
STUB;Stubbenland
STWA;Sternwarte
SUD;Schwerin Süd
TALL;Tallinner Straße
TEPA;Technologiepark
TOUR;Touristenweg
VOEL;Benno-Voelkner-Straße
WACH;Wachtelweg
WALD;Waldfriedhof
WARN;Warnitz
WAST;Warnitzer Straße
WELT;Otto-Weltzien-Straße
WEND;Wendenhof
WIAH;Wittenförden, Ahornallee
WICK;Wickendorf
WIDO;Wittenförden, Dorfeingang
WIFO;Wittenförden
WIGA;Wittenförden, Gaststätte
WIHB;Wittenförden, Hansberg
WIHG;Wittenförden, Hasengrund
WINO;Wittenförden, Nordring
WITT;Wittenburger Straße
WOLF;Wolfsschlucht
WUST;Wüstmark
ZIEG;Ziegelhof
ZIPP;Zippendorf Eiche
ZKIR;Zum Kirschenhof
ZOO;Zoo
ZREP;Zum Reppin
ZSCH;Zum Schulacker
