Abk;Name
A;Alingsås
Aal;Annedal
Ab;Arbrå
Acm;Avesta centrum
Aem;Alphem
Aft;Alfta
Ag;Anneberg
Agb;Agnesberg
Agg;Algutsgården
Ahm;Aleholm
Ahy;Asphyttan
Ajo;Avvakajjo
Ajr;Arvidsjaur
Ak;Abisko östra
Akk;Akkavare
Akt;Abisko turiststation
Al;Arlöv
Alh;Alvhem
Ali;Arlövs industrispår
Alv;Astrid Lindgrens värld
Am;Almedal
Amk;Arnemark
An;Arvån
Any;Aneby
Anö;Anundsjö
Ap;Aspeå
Apd;Aplared
Apn;Aspen
Apo;Apokätno
Apt;Aptas
Ar;Arvika station
Ara;Arnäsvall
Arb;Arboga station
Arl;Arelid
Arn;Arlanda
Arnc;Arlanda C
Arne;Arlanda nedre
Arnn;Arlanda norra
Arns;Arlanda södra
Ary;Araby
Asb;Assberg
Asd;Aspedalen
Asg;ASG
Atp;Attarp
Auk;Auktsjaur
Av;Alvesta
Ava;Avaviken
Avk;Almvik
Avky;Avesta Krylbo
Ax;Axmarby
Ay;Alby
Aä;Alväng
Aö;Aronsjölid
B;Björnlunda
Baa;Barkåkra
Bad;Badsta
Bas;Banskillnaden
Baö;Backsjön
Bbe;Blyberg
Bda;Blidstena
Bdb;Badabruk
Bdf;Bodafors
Bdl;Bäckedal
Bdn;Boden central
Bdo;Broddbo
Bds;Bodens södra
Bdy;Bredaryd
Bdö;Bodarsjön
Be;Backe
Bef;Bengtsfors
Beg;Bergsgården
Bf;Brunflo
Bfa;Bultfabriken
Bfo;Billingsfors
Bfs;Bergfors
Bg;Berga
Bgd;Brogården
Bgm;Berghem
Bgs;Bryngenäs
Bgv;Bälgviken
Bhb;Bräkne-Hoby
Bhs;Bohus
Bia;Birsta
Bib;Billeberga
Bid;Björnidet
Bih;Billesholm
Bj;Björna
Bja;Bjästa
Bjb;Björneborg
Bjh;Bjurhem
Bjm;Bjärnum
Bjn;Björnkulla
Bjo;Björketorp
Bjst;Björkstugan
Bjuv;Bjuv
Bjy;Björköby
Bjö;Björnsjö
Bkb;Barkarby
Bkbö;Barkarby östra
Blby;Bollsbyn
Bld;Blädinge station
Blg;Borlänge rangerbangård
Blg;Borlänge centralstation
Blgt;Bleviksberget
Bln;Björkliden
Blv;Burlöv
Bma;Blomstermåla
Bmb;Blomberg
Bml;Bromölla
Bn;Bollnäs
Bn;Bors norra
Bna;Brunna
Bnk;Blattnicksele
Boa;Borgstena
Boda;Boda
Bof;Bofors
Bog;Bodaborg
Bogr;Borgens grusgrop
Bom;Bomansberget
Bor;Bor
Boy;Bollebygd
Bp;Brännarp
Br;Bergsbrunna
Bra;Brista
Brd;Brännland
