Abk;Name
AK;Aderklaaer Straße
AS;Alser Straße
AE;Alt Erlaa
AD;Alte Donau
PW;Am Schöpfwerk (U)
AP;Aspern (U2)
BA;Babenbergerstraße - Museumsquartier
BR;Braunschweiggasse
BE;Breitensee
BS;Brünner Straße (in F)
BM;Brunn-Maria Enzersdorf
BU;Burggasse
DJ;Donauinsel
DP;Donauspital (U2)
DT;Donaustadtbrücke (U2)
DS;Dresdner Straße
EK;Enkplatz
ED;Erdberg
ER;Erlaaer Straße
FL;Floridsdorf (in F)
FB;Friedensbrücke
AW;Gasometer
GE;Geiselbergstraße (in Sah)
GH;Gersthof
SM;Grillgasse (in Zur)
GF;Großfeldsieldung
GU;Gumpendorfer Straße
GG;Gutheil-Schoder-Gasse
HK;Handelskai
HK;Handelskai (in Wv)
AR;Hardegggasse (U2)
HN;Hernals
HZ;Herrengasse
HI;Hietzing
HH;Hütteldorfer Straße
IP;Inzersdorf - Personenbahnhof
JG;Jägerstraße
J;Jedlersdorf (in F)
JO;Johnstraße
JS;Josefstädter Straße
KT;Kagraner Platz
KM;Kaisermühlen - Vienna International Centre
KN;Kardinal-Nagl-Platz
KP;Karlsplatz
KR;Kendlerstraße
KE;Keplerplatz
KG;Kettenbrückengasse
KL;Kledering (in Zur)
KS;Klein Schwechat (in Kls)
KI;Krieau
KB;Krottenbachstraße
LE;Längenfeldgasse
LP;Leopoldau
LU;Leopoldau U
LG;Liesing (in Lg)
LB;Lobau
MG;Margaretengürtel
MH;Meidling Hauptstraße
MS;Messe
MB;Michelbeuern, AKH
NP;Nestroyplatz
NE;Neu Erlaa
MA;Neubaugasse - Mariahilfer Straße
ND;Neue Donau
NH;Niederhofstraße
NF;Nußdorf
NS;Nussdorfer Straße
OV;Ober St. Veit
OD;Oberdöbling
OP;Oper (WLB)
OK;Ottakring U
PZ;Penzing
PE;Perfektastraße
PH;Philadelphiabrücke
PG;Pilgramgasse
SU;Praterkai
PS;Purkersdorf Sanatorium
RH;Rathaus
RB;Rennbahnweg
RW;Rennweg (in Nw)
RP;Reumannplatz
RG;Rochusgasse
RL;Rossauer Lände
SG;Schlachthausgasse
SB;Schönbrunn
LL;Schönbrunner Allee
SK;Schöpfwerk (WLB)
SR;Schottenring
SO;Schottentor
GS;Schwechat (in Kls)
SP;Schwedenplatz
SH;Schweglerstraße
TH;Siebenhirten
SI;Siemensstraße (in F)
SA;Simmering (in El)
AU;Spittelau (in Wf)
SW;Stadion
SD;Stadlau (in St)
ST;Stadtpark
SZ;Stephansplatz
SE;Stubentor
TB;Taborstraße
TA;Taubstummengasse
TS;Thaliastraße
TG;Traisengasse
TE;Tscherttegasse
UV;Unter St. Veit
MS;Vienna Biocenter-St.Marx
VT;Volkstheater
VS;Vorgartenstraße
VD;Vösendorf - Siebenhirten
WA;Währinger Straße, Volksoper
AM;Wien Atzgersdorf (in Lg)
KA;Wien Breitenleer Straße
SV;Wien Erzherzog Karl-Straße (in St)
WF;Wien Franz-Josefs-Bf (in Wf)
WU;Wien Hadersdorf
HD;Wien Haidestraße (in El)
HU;Wien Hausfeldstraße
HS;Wien Heiligenstadt
HE;Wien Hetzendorf (in Mat)
HA;Wien Hirschstetten (in St)
HF;Wien Hütteldorf
MP;Wien Matzleinsdorfer Platz (in Mat)
MI;Wien Meidling (in Mat)
LA;Wien Mitte (in Nw)
PR;Wien Praterstern (in Nw)
S;Wien Speising
SS;Wien Strebersdorf (in F)
WB;Wien Südbahnhof (in Wsp)
WB;Wien Südbf (in Wbo)
WB;Wien Südbf (in Wbo)
SL;Wien Südtiroler Platz (in Wsp)
SN;Wien Süßenbrunn (in Sue)
WW;Wien Weidlingau
WS;Wien Westbf (in Ws)
WG;Wolfganggasse
ZF;Zentralfriedhof
GZ;Zieglergasse
PP;Zippererstraße
