VKM;UNIQUE;Keeper Name / Halter Name / Nom du détenteur / Название владельца;Country Страна;Status Статус;www.;
AACH;AACH;Zakłady Azotowe Chorzów S.A.;PL;Revoked;azoty-adipol.pl;
AAE;AAE;AAE GmbH;DE;in use;aae.ch;
AAEC;AAEC;VTG Schweiz GmbH;CH;in use;aae.ch;OTIF
AAFM;AAFM;Asociación de Amigos del Ferrocarril de Madrid;ES;in use;aafmadrid.es;
AAPSL;AAPSL;Amicale des Agents de Paris St Lazare;FR;in use;;
AB;AB;Appenzeller Bahnen;CH;in use;appenzellerbahnen.ch;OTIF
ABB;ABB;Hitachi Energy Sweden AB;SE;in use;hitachienergy.com;
ABCAR;ABCAR;AB Prijevoz d.o.o.;HR;in use;;OTIF
ABE;ABE;Ankum-Bersenbrücker Eisenbahn GmbH;DE;in use;abe-gmbh.net;
ABEG;ABEG;Anhaltinisch-Brandenburgische Eisenbahngesellschaft mbH;DE;in use;abeg-bahn.de;
ABFC;ABFC;Autorails de Bourgogne Franche-Comtè;FR;in use;x4039.free.fr;
ABG;ABG;Anhaltische Bahngesellschaft;DE;in use;abg.dwe-web.info;
ABI;ABI;Eurasia Int Trade;DE;in use;;
ABLOG;ABLOG;AB Prevoz d.o.o.;RS;in use;;OTIF
ABR;ABR;Abellio Rail GmbH;DE;Revoked;abeliio.de;
ABRBW;ABRBW;SWEG Bahn Stuttgart GmbH;DE;Revoked;;
ABRM;ABRM;Abello Rail Mitteldeutschland GmbH;DE;in use;abellio.de;
ABRN;ABRN;Abellio Rail NRW GmbH;DE;in use;abellio.de;
ABRRS;ABRRS;Road & Rail Service;DE;in use;road-rail-service.com;
ABRS;ABRS;Abellio Rail Baden-Württemberg GmbH;DE;Revoked;abellio.de;
ABT;ABT;AB Tankvagnar;SE;in use;tankvagnar.se;
ABTR;ABTR;AB Transitio;SE;in use;transitio.se;
ABVT;ABVT;AB Vagon Trans s.r.o.;CZ;in use;;
ACCIO;ACCIO;Acciona Infraestructuras;ES;in use;acciona.es;
ACH;ACH;AlzChem Trostberg GmbH;DE;in use;alzchem.com;
ACISA;ACISA;Agrupación Cántabra de Construcción e Ingeniería (ACCISA);ES;in use;;
ACPR;ACPR;Amicale des Cheminots pour Préservation de la 141 R 1126;FR;in use;trainvapeur-toulouse.com;
ACTS;ACTS;ACTS Abroll-Container-Transport System AG;CH;Revoked;actsag.ch;OTIF
ACTS;ACTS;ACTS Nederland B.V.;NL;Revoked;acts-nl.com;
ACTSB;ACTSB;ACTS Abroll-Container-Transport-Service AG;CH;in use;actsag.ch;OTIF
ACTSL;ACTSL;ACTS Luxembourg;LU;in use;;
AD;AD;Freunde des Schienenverkehrs Flensburg e.V;DE;in use;angelner-dampfeisenbahn.de;
ADAM;ADAM; Uwe Adam Transport;DE;in use;uwe-adam-transporte.de;
ADE;ADE;A.D.E. Eisenbahnverkehrsunternehmen GmbH;DE;in use;;
ADEGS;ADEGS;Ade Gas Oil Company SRL;RO;in use;adegas.ro;
ADEPF;ADEPF;AUXILIAR DE PATRIMONIO FERROVIARIO;ES;in use;adepf.es;
ADFER;ADFER;ADRIAFER S.R.L.;IT;in use;adriader.com;
ADGM;ADGM;AD Gleisbau Mittelrhein GmbH;DE;in use;;
ADHD;ADHD;L'AUTORAIL X2800 DU HAUT-DOUBS (X2800HD);FR;in use;x2800-hd.com;
ADIF;ADIF;ADIF ( Administrador de Infraestructuras Ferroviarias);ES;in use;adif.es;
ADKRS;ADKRS;ADK Rail service, s.r o.;CZ;in use;;
ADMKR;ADMKR;Silo P Kruse Betriebs GmbH;DE;in use;;
ADOCI;ADOCI;ADOÇIM ÇIMENTO BETON SAN VE TIC. A.Ş.;TR;in use;adocim.com;OTIF
ADOSI;ADOSI;Advalue Dos Iberica S.L.;ES;in use;advalue2iberica.es;
ADPF;ADPF;ADP- Fertilizantes, S.A.;PT;in use;adp-fertilizantes.pt;
ADRIA;ADRIA;ADRIA RAIL DOO;HR;in use;adria-rail.hr;
ADSP;ADSP;Autorita' di Sistema Portuale del Mar Ligure Orientale;IT;in use;adspmarligureorientale.it;
ADT;ADT;Adria Transport D.O.O.;SI;in use;adria-transport.com;
AED;AED;Alpine-Energie Deutschland GmbH;DE;in use;alpine-energie.de;
AERS;AERS;AERS Rail Services Deutchland GmbH;DE;in use;aers-rail-services.de;
AEV;AEV;Achertaeler Eisenbahn Verein e.V;DE;in use;;
AF;AF;Albert Fischer GmbH;DE;in use;albert-fischer.de;
AFFR;AFFR;Arlington Fleet France;FR;in use;;
AFG;AFG;Andreas Forster, Dienstleistungen Schienenverkehr;DE;in use;;
AFL;AFL;AFL-Bahndienste GmbH;DE;in use;afl-bahndienste.de;
AGA;AGA;AGA Gas AB;SE;Revoked;;
AGC;AGC;AGC Flat Glass Czech a.s., člen AGC Group;CZ;in use;;
AGE;AGE;Arbeitsgemeinschaft Geesthachter Eisenbahn e.V;DE;in use;eisenbahn.geesthacht.de;
AGIE;AGIE;agilis Eisenbahngesellschaft mbH & Co. KG;DE;in use;agilis.de;
AGIL;AGIL;agilis Verkehrsgesellschaft mbH & Co. KG;DE;in use;agilis.de;
AGIT;AGIT;AGIT d.o.o.;HR;in use;agit.hr;OTIF
AGJ;AGJ;Anten-Gräfsnäs Järnväg;SE;in use;agj.net;
AGL;AGL;Ardagh Glass Limmared AB;SE;in use;ardaghglass.com;
AGPI;AGPI;AGPI, a.s.;CZ;in use;;
Agpjc;AGPJC;Agropodnik a.s. Jičín;CZ;in use;;
AGPJI;AGPJI;AGROPODNIK, akciová společnost, Jihlava;CZ;in use;;
AGRAD;AGRAD;AGRO Radomyšl a.s.;CZ;in use;;
AGRCS;AGRCS;AGRO CS a.s.;CZ;in use;agrocs.cz;
AGRN;AGRN;AGRANA ROMANIA;RO;in use;;
AGROZ;AGROZ;Agro Žamberk a.s.;CZ;in use;;
AGT;AGT;Allgemeine Gleis- und Tiefbau- Bauunternehmung GmbH;DE;in use;agt-mainz.de;
AGTDU;AGTDU;ALTUN GLEIS UND TIEFBAU GMBH;DE;in use;agtgmbh.de;
AGUAD;AGUAD;TRANSPORTES Y GRUAS AGUADO S.L.;ES;in use;gruasaguado.com;
AGUPW;AGUPW;AGU Przedsiębiorstwo Wielobranżowe Szczepan Kuśmierek;PL;in use;;
AH;AH;ATLAS Hannover Baumaschinen GmbH & Co.;DE;in use;atlas-hannover.de;
AHD;AHD;Rail system s.r.o;CZ;in use;;
AHG;AHG;AHG Handel & Logistik GmbH;DE;in use;ahg-gruppe.de;
AHM;AHM;A.H. Meyer & Cie AG;CH;in use;ahmeyer.ch;OTIF
AHYRE;AHYRE;ANDALUZA DE HIERROS Y RECUPERACIONES S.A.;ES;in use;ahyresa.es;
AINÖ;AINO;ARGE Istandhaltung Niederösterreich;AT;in use;;
AIROL;AIROL;Filippi SA;CH;in use;;OTIF
AIRRA;AIRRA;AIR-RAIL.S.L;ES;in use;air-rail.org;
AIUK;AIUK;Aggregate Industries;UK;in use;aggregate.com;
AIX;AIX;AIXrail GmbH;DE;in use;aixrail.de;
AJ;AJ;Association de Jeunes pour l'Entretien et la Conservation des Trains d'Autrefois;FR;in use;ajecta.org;
AJF;AJF;Arvidsjaurs Järnvägsförening;SE;in use;;
AK;AK;Adria kombi d.o.o., Ljubljana;SI;in use;adriakombi.si;
AKE;AKE;AKE-Eisenbahntouristik – jörg Petry e.K.;DE;in use;ake-eisenbahntouristik.de;
