DSAbk;DVAbk;Kurzname;Beschreibung;DS/DV
Hp0;Hp0;Halt;Halt.;
Zs12;Zs2;M-Tafel;Am Halt zeigenden oder gestörten Hauptsignal auf mündlichen oder fernmündlichen Auftrag vorbeifahren.;DS
Hp1;Hp1;Fahrt;Fahrt.;
Hp2;Hp2;Langsamfahrt;Langsamfahrt.;
Vr0;Vr0;Halt erwarten;Halt erwarten.;
Vr1;Vr1;Fahrt erwarten;Fahrt erwarten.;
Vr2;Vr2;Langsamfahrt erwarten;Langsamfahrt erwarten.;
;Vr1 2;Fahrt oder Langsamfahrt erwarten;Fahrt oder Langsamfahrt erwarten.;DV
Ks1;Ks1;Fahrt;Fahrt;
Ks2;Ks2;Halt erwartem;Halt erwarten.;
;Hl1;Fahrt mit Höchstgeschwindigkeit;Fahrt mit Höchstgeschwindigkeit.;DV
;Hl2;Fahrt mit 100 km/h, dann mit Höchstgeschwindigkeit;Fahrt mit 100 km/h, dann mit Höchstgeschwindigkeit.;DV
;Hl3a;Fahrt mit 40 km/h, dann mit Höchstgeschwindigkeit;Fahrt mit 40 km/h, dann mit Höchstgeschwindigkeit.;DV
;Hl3b;Fahrt mit 60 km/h, dann mit Höchstgeschwindigkeit;Fahrt mit 60 km/h, dann mit Höchstgeschwindigkeit.;DV
;Hl4;Höchstgeschwindigkeit auf 100 km/h ermäßigen;Höchstgeschwindigkeit auf 100 km/h ermäßigen.;DV
;Hl5;Fahrt mit 100 km/h;Fahrt mit 100 km/h.;DV
;Hl6a;Fahrt mit 40 km/h, dann mit 100 km/h;Fahrt mit 40 km/h, dann mit 100 km/h.;DV
;Hl6b;Fahrt mit 60 km/h, dann mit 100 km/h;Fahrt mit 60 km/h, dann mit 100 km/h.;DV
;Hl7;Höchstgeschwindigkeit auf 40 km/h (60 km/h) ermäßigen;Höchstgeschwindigkeit auf 40 km/h (60 km/h) ermäßigen.;DV
;Hl8;Geschwindigkeit 100 km/h auf 40 km/h (60 km/h) ermäßigen;Geschwindigkeit 100 km/h auf 40 km/h (60 km/h) ermäßigen.;DV
;Hl9a;Fahrt mit 40 km/h, dann mit 40 km/h (60 km/h);Fahrt mit 40 km/h, dann mit 40 km/h (60 km/h).;DV
;Hl9b;Fahrt mit 60 km/h, dann mit 40 km/h (60 km/h);Fahrt mit 60 km/h, dann mit 40 km/h (60 km/h).;DV
;Hl10;„Halt“ erwarten;„Halt“ erwarten.;DV
;Hl11;Geschwindigkeit 100 km/h ermäßigen, „Halt“ erwarten;Geschwindigkeit 100 km/h ermäßigen, „Halt“ erwarten.;DV
;Hl12a;Geschwindigkeit 40 km/h ermäßigen, „Halt“ erwarten;Geschwindigkeit 40 km/h ermäßigen, „Halt“ erwarten.;DV
;Hl12b;Geschwindigkeit 60 km/h ermäßigen, „Halt“ erwarten;Geschwindigkeit 60 km/h ermäßigen, „Halt“ erwarten.;DV
Sv0;Sv0;Zughalt! Weiterfahrt auf Sicht;Zughalt! Weiterfahrt auf Sicht.;
Sv1;Sv1;Fahrt! Fahrt erwarten;Fahrt! Fahrt erwarten.;
Sv2;Sv2;Fahrt! Halt erwarten;Fahrt! Halt erwarten.;
Sv3;Sv3;Fahrt! Langsamfahrt erwarten;Fahrt! Langsamfahrt erwarten.;
Sv4;Sv4;Langsamfahrt! Fahrt erwarten;Langsamfahrt! Fahrt erwarten.;
Sv5;Sv5;Langsamfahrt! Langsamfahrt erwarten;Langsamfahrt! Langsamfahrt erwarten;
Sv6;Sv6;Langsamfahrt! Halt erwarten;Langsamfahrt! Halt erwarten.;
Zs1;Zs1|Zs101;Ersatzsignal;Am Signal Hp 0 oder am gestörten Lichthauptsignal ohne schriftlichen Befehl vorbeifahren.;
Zs2;Zs4;Richtungsanzeiger;Die Fahrstraße führt in die angezeigte Richtung.;
Zs2v;;Richtungsvoranzeiger;Richtungsanzeiger (Zs 2) erwarten.;DV
Zs3;Zs3;Geschwindigkeitsanzeiger;Die durch die Kennziffer angezeigte Geschwindigkeit darf vom Signal ab im anschließenden Weichenbereich nicht überschritten werden.;
Zs3v;Zs3v;Geschwindigkeitsvoranzeiger;Geschwindigkeitsanzeiger (Zs 3) erwarten;
Zs4;Zp10;K-Scheibe;Beschleunigungsanzeiger/K-Scheibe: Fahrzeit kürzen;
Zs5;Zp11;L-Scheibe;Verzögerungsanzeiger/L-Scheibe: Langsamer fahren;
Zs6;;Gleiswechselanzeiger;Der Fahrweg führt in das Streckengleis entgegen der gewöhnlichen Fahrtrichtung.;DS
