linie;linienname;bpk_anfang;bpk_ende;km_anfang;km_ende;stationierung_anfang;stationierung_ende;n;e;n2;e2;geopos;geopos2;tst
107;Brig-Lotschberg (Abzw) Brig Tunnel;Brig-Lotschberg (Abzw);Brig Tunnel;145.246;147.135;0;1000000;1129941.936;2642015.78;1130510.42;2643766.775;7.98415559984, 46.3195658756;8.00694229803, 46.3245679145;"{""type"": ""LineString"", ""coordinates"": [[7.98415559984, 46.3195658756], [8.00694229803, 46.3245679145]]}"
111;Vevey Ouest - Puidoux-Chexbres;Vevey Ouest (bif);Puidoux;0.763;7.829;0;1000000;1146434.252;2553719.727;1149391.962;2548335.067;6.83611717751, 46.4676302842;6.76568648465, 46.4938412288;"{""type"": ""LineString"", ""coordinates"": [[6.83611717751, 46.4676302842], [6.76568648465, 46.4938412288]]}"
117;Palezieux - Chatel-St-Denis;Palezieux;Chatel-St-Denis;0.003;6.78;0;1000000;1154785.194;2553918.865;1152905.297;2558564.612;6.83787527681, 46.5427635936;6.89860941633, 46.5261577982;"{""type"": ""LineString"", ""coordinates"": [[6.83787527681, 46.5427635936], [6.89860941633, 46.5261577982]]}"
118;Chatel-St-Denis - Montbovon;Chatel-St-Denis;Montbovon;0.0;36.67;0;1000000;1152905.297;2558564.612;1148370.1866;2569579.594;6.89860941633, 46.5261577982;7.04246496711, 46.4859552487;"{""type"": ""LineString"", ""coordinates"": [[6.89860941633, 46.5261577982], [7.04246496711, 46.4859552487]]}"
122;Glion - Rochers-de-Naye;Glion;Rochers-de-Naye;0.0;7.63;0;1000000;1142400.3296;2560499.6996;1142400.2801;2564629.6372;6.92472788526, 46.4317785498;6.97845860595, 46.4320093428;"{""type"": ""LineString"", ""coordinates"": [[6.92472788526, 46.4317785498], [6.97845860595, 46.4320093428]]}"
125;Aigle - Aigle-Depot;Aigle;Aigle-Depot;0.0;1.03;0;1000000;1129606.2;2563416.288;1129775.2463;2564269.5024;6.96368321186, 46.3168554186;6.97474707856, 46.3184221158;"{""type"": ""LineString"", ""coordinates"": [[6.96368321186, 46.3168554186], [6.97474707856, 46.3184221158]]}"
132;Martigny - Le Chatelard-Frontiere;Martigny;Le Chatelard-Frontiere;0.0;18.1;0;1000000;1106100.379;2572200.17;1100335.4161;2562174.1966;7.07912412849, 46.1058312072;6.94993121254, 46.0534841867;"{""type"": ""LineString"", ""coordinates"": [[7.07912412849, 46.1058312072], [6.94993121254, 46.0534841867]]}"
133;Martigny - Orsieres;Martigny;Orsieres;0.017;19.34;0;1000000;1106100.379;2572200.17;1097420.127;2577144.225;7.07912412849, 46.1058312072;7.14348672007, 46.0279349307;"{""type"": ""LineString"", ""coordinates"": [[7.07912412849, 46.1058312072], [7.14348672007, 46.0279349307]]}"
146;Domodossola II - Domodossola bivio;Domo II;Domodossola (bif);0.0;6.269;0;1000000;1102562.355;2665631.583;1108558.462;2666028.867;8.28690999942, 46.0713939988;8.29288784714, 46.1252902273;"{""type"": ""LineString"", ""coordinates"": [[8.28690999942, 46.0713939988], [8.29288784714, 46.1252902273]]}"
150;Lausanne - Geneve-Aeroport;Lausanne;Geneve-Aeroport (cul-de-sac);0.0;66.6;0;1000000;1152042.412;2537874.991;1121287.246;2497957.63;6.6290923032, 46.5167918355;6.11577721763, 46.2352666165;"{""type"": ""LineString"", ""coordinates"": [[6.6290923032, 46.5167918355], [6.11577721763, 46.2352666165]]}"
157;Apples - L'Isle-Mont-la-Ville;Apples;L'Isle;0.0;10.6;0;1000000;1156020.5735;2522119.5646;1163425.5977;2521294.6117;6.42313275395, 46.550924112;6.41111064285, 46.6174340781;"{""type"": ""LineString"", ""coordinates"": [[6.42313275395, 46.550924112], [6.41111064285, 46.6174340781]]}"
167;Lausanne-Triage D - Lausanne-Triage C;Lausanne-Triage D;Lausanne-Triage C;7.696;7.96;0;1000000;1153848.633;2531643.291;1153673.719;2531445.672;6.54762625942, 46.5324303042;6.54507657651, 46.5308366981;"{""type"": ""LineString"", ""coordinates"": [[6.54762625942, 46.5324303042], [6.54507657651, 46.5308366981]]}"
172;Lausanne-Triage  A/B - B;Lausanne-Triage A/B;Lausanne-Triage B;8.1;8.511;0;1000000;1153559.113;2531359.434;1153370.922;2530999.878;6.54396967858, 46.52979696;6.53931175308, 46.5280671379;"{""type"": ""LineString"", ""coordinates"": [[6.54396967858, 46.52979696], [6.53931175308, 46.5280671379]]}"
217;Besancon - Le Locle-Frontiere;Morteau;Le Locle-Frontiere;471.95;481.74;0;1000000;1211732.383;2536640.753;1211274.04;2545162.982;6.60472819713, 47.0535787422;6.7169422107, 47.0502175411;"{""type"": ""LineString"", ""coordinates"": [[6.60472819713, 47.0535787422], [6.7169422107, 47.0502175411]]}"
219;Auvernier - Les Verrieres frontiere;Auvernier;Les Verrieres-Frontiere;4.979;41.065;0;1000000;1203328.107;2557322.201;1194695.578;2525354.483;6.87770804418, 46.9796416688;6.45900262048, 46.8991653952;"{""type"": ""LineString"", ""coordinates"": [[6.87770804418, 46.9796416688], [6.45900262048, 46.8991653952]]}"
220;Bern - Neuchatel Est (bif);Bern Henkerbrunnli;Neuchatel Est (bif);-0.4;42.087;0;1000000;1200271.186;2600016.523;1205610.87;2562483.432;7.43884943564, 46.9535221375;6.94535220902, 47.000487583;"{""type"": ""LineString"", ""coordinates"": [[7.43884943564, 46.9535221375], [6.94535220902, 47.000487583]]}"
224;Chambrelien Nord - Le Locle (Frontiere);Chambrelien Nord (bif);Le Locle-Frontiere;10.585;39.58;0;1000000;1202117.72;2552430.956;1211274.04;2545162.982;6.81355093422, 46.9684210833;6.7169422107, 47.0502175411;"{""type"": ""LineString"", ""coordinates"": [[6.81355093422, 46.9684210833], [6.7169422107, 47.0502175411]]}"
