Tabellennummer;Liniennummer;Laufweg
100;RE 1;Hamburg - Schwerin - Rostock
101_1;;Wedel (Holst) - Jungfernstieg - Hauptbahnhof - Ohlsdorf - Hamburg Airport / Poppenbüttel
101_2;;Altona - Jungfernstieg - Hauptbahnhof - Bergedorf
101_3;;Pinneberg - Altona - Jungfernstieg - Hauptbahnhof - Neugraben - Stade
101_11;;Blankenese - Altona - Dammtor - Hauptbahnhof - Barmbek - Poppenbüttel
101_21;;Elbgaustraße / Altona - Dammtor - Hauptbahnhof - Bergedorf - Aumühle
101_31;;Altona - Dammtor - Hauptbahnhof - Berliner Tor / Neugraben
102;;Hamburg - Büchen (-Schwerin)
103;;Hamburg - Elmshorn - Itzehoe / Neumünster - Kiel
104;;Hamburg - Bad Oldesloe - Lübeck - Lübeck-Travemünde Strand
110;;Hamburg - Celle - Hannover
112;RB 32;Lüneburg - Dannenberg Ost
115;RB 47;Uelzen - Wittingen - Gifhorn - Braunschweig
116;RB 37;Bremen Hbf - Langwedel - Soltau - Uelzen
120;;Hamburg - Rotenburg - Bremen
121;;Cuxhaven - Stade - Hamburg-Neugraben - Hamburg
122;RB 33;Bremerhaven - Bremervörde - Buxtehude
123;RB 38;Buchholz - Soltau - Hannover
124;RB 76, RE 78 (ERB);Rotenburg - Verden - Nienburg -Minden
125;;Cuxhaven - Bremerhaven - Bremen
126;;Verden - Achim - Bremen Hbf - Bremen-Burg - Bremen-Vegesack
127;RS1;Bremen-Farge - Bremen-Vegesack - Bremen Hbf - Verden (Aller)
130;RE 6, RB 61, RB 62;Hamburg - Westerland (Sylt)
131;;Hamburg - Neumünster - Flensburg
132;RB 63;Neumünster - Heide (Holst) - Büsum
134;;(Westerland-) Husum - Kiel
135;;Husum - Bad St Peter-Ording
140;;(Hamburg - ) Lübeck - Neustadt - Fehmarn
142;RB 82;Neumünster - Bad Segeberg - Bad Oldesloe
145;;Lüneburg - Büchen - Lübeck - Eutin - Plön - Kiel
146;;Kiel - Eckernförde - Flensburg
152;RB 13;Rehna - Schwerin - Parchim
172;RB 14;Hagenow Stadt - Hagenow Land - Ludwigslust - Parchim
175;RE 4;Lübeck - Szczecin Glowny
181;S 1;Rostock - Warnemünde
182;S 2;Güstrow-Rostock
183;S 3;Warnemünde - Güstrow
184;RB 12;Rostock - Rövershagen - Graal-Müritz
185;RB 12, RB 11;Wismar - Rostock - Tessin
186;;Ostseebad Kühlungsborn - Bad Doberan
190;RE 9;Rostock - Stralsund - Bergen auf Rügen - Sassnitz/Ostseebad Binz
192;RB25;Barth - Velgast
193;RB23;Züssow - Swinoujscie Centrum
194;RB24;Zinnowitz - Peenemünde
198;;Bergen auf Rügen - Putbus - Lauterbach
199;;Lauterbach Mole - Putbus LB - Binz LB - Sellin Ost - Baabe - Göhren (Rügen)
200_1;S 1;S Wannsee Bhf - S+U Friedrichstr. Bhf - S Oranienburg Bhf
200_2;S 2;S Blankenfelde (TF) Bhf - S+U Friedrichstr. Bhf - S Bernau Bhf
200_3;S 3;S Erkner Bhf - S+U Berlin Hauptbahnhof - S Spandau Bhf
200_5;S 5;S Strausberg Nord - S+U Berlin Hauptbahnhof - S Westkreuz
200_7;S 7;S Ahrensfelde Bhf - S+U Berlin Hauptbahnhof - S Potsdam Hauptbahnhof
200_8;S 8;(S Zeuthen - ) S Grünau - S Ostkreuz - S Birkenwerder Bhf
200_9;S 9;S Flughafen B-Schönefeld Bhf - S+U Berlin Hauptbahnhof - S Spandau Bhf
200_25;S25;S Teltow Stadt - S+U Friedrichstr. Bhf - S Hennigsdorf Bhf
200_26;;S Teltow Stadt - S+U Friedrichstr. Bhf - S Waidmannslust
200_41;S 41;S Südkreuz Bhf - S Westkreuz - S+U Gesundbrunnen Bhf - S Ostkreuz - S Südkreuz Bhf
200_42;S 42;S Südkreuz Bhf - S Ostkreuz - S+U Gesundbrunnen Bhf - S Westkreuz - S Südkreuz Bhf
200_45;S 45;S Flughafen B-Schönefeld Bhf - S Südkreuz Bhf
200_46;S 46;S Königs Wusterhausen Bhf - S Südkreuz Bhf - S Westkreuz - S Westend - S+U Gesundbrunnen Bhf
200_47;S 47;S Spindlersfeld - S+U Hermannstr.
200_75;S 75;S Wartenberg - S+U Warschauer Str.
200_85;S 85;S Grünau - S Schöneweide Bhf - S Ostkreuz Bhf - S+U Pankow
201;RE 1, RB 11;Magdeburg Hbf - Berlin - Frankfurt (Oder) - Cottbus
202;RE 2, RB 17;Wismar - Wittenberge(Berlin)
203;;Berlin - Jüterbog - Lutherstadt Wittenberg/Falkenberg (Elster)
203_Nord;RE 3, RE66, RE10, RB60, RB61, RB62;Stralsund/Schwedt (Oder) - Angermünde - Berlin
203_Süd;;Falkenberg (Elster)/Lutherstadt Wittenberg - Jüterbog - Berlin
205_Nord;RE 5, RE5;Rostock/Stralsund - Neustrelitz - Berlin Südkreuz
205_Sued;RE5, RE7;Berlin Gesundbrunnen - Berlin Hbf - Wünsdorf-Waldstadt - Elsterwerda
206;RE 6, RB 55;Wittenberge - Hennigsdorf (b Berlin) - Berlin
207;RE 7, RB 33;Dessau - Wünsdorf-Waldstadt
208;RE 18, RB 49, S 4;Cottbus - Ruhland - Falkenberg (Elster)
209_12;RB 12;Berlin Ostkreuz - Berlin-Lichtenberg - Löwenberg - Templin Stadt
209_13;RB 13;Berlin Jungfernheide - Wustermark
209_14;RB 10, RB 14;Nauen - Berlin - Berlin-Schönefeld Flughafen
209_20;RB 20;Oranienburg - Potsdam
209_21;RB 21, RB 22;Berlin - Potsdam - Golm - Wustermark - Königs Wusterhausen
209_22;RB 22;Berlin Friedrichstraße - Berlin - Potsdam - Golm - Königs Wusterhausen
209_23;RB 23;Potsdam - Michendorf
209_24;RB 24, RE 3, RB 60, RE 2, RB 66;Eberswalde - Berlin - Königs Wusterhausen - Senftenberg
209_25;RB 25;Berlin Ostkreuz - Berlin-Lichtenberg - Ahrensfelde - Werneuchen
209_26;RB 26;Berlin-Lichtenberg - Müncheberg - Seelow-Gusow - Küstrin-Kietz - Kostrzyn
209_27;RB 27;Berlin-Karow/Berlin Gesundbrunnen - Basdorf - Wensickendorf/Klosterfelde - Schmachtenhagen/Groß Schönebeck
