Blad;Vei
1;(Skøyen - Oslo S -) Lillestrøm - Årnes - Skarnes - Kongsvinger - Charlottenberg (- Arvika)
2;Kongsvinger - Elverum
3;Skøyen - Oslo S - Loenga - Kolbotn - Ski - Moss - Fredrikstad - Sarpsborg - Halden - Kornsjø (- Ed)
4;(Skøyen - Oslo S - Kolbotn Ski -) Mysen - Sarpsborg
5;Gjøvikbanen: (Skøyen -) Oslo S - Grefsen - Hakadal - Roa - Jaren - Eina - Gjøvik
6;Flåmsbana: Myrdal - Flåm
7;Bergensbanen: Hønefoss - Ål - Myrdal - Voss - Bergen
8;Drammenbanen: Oslo S - Skøyen - Lysaker - Sandvika - Asker - Drammen
8b;Lysaker - Sandvika - Asker - Spikkestad
8c;Filipstad - Skøyen
9;Hovedbanen: Skøyen - Oslo S - Grorud - Lillestrøm - Eidsvoll
9b;Grorud - Alnabru
9c;Aker - Alnabru
9d;Alnabru - Brobekk
9e;Alnabru - Loenga
10;Eidsvoll - Hamar - Lillehammer - Ringebu - Otta - Dombås
11;Trondheim S - Trondheim M - Støren - Oppdal - Dombås
12;Raumabana: Åndalsnes - Dombås
13;Rørosbana: Støren - Røros - Tynset - Koppang - Elverum - Hamar
14;Grong - Steinkjer - Levanger - Stjørdal - Hell - Trondheim S
14b;Leangen - Trondheim M
14c;Meråkerbanen: Hell - Storlien
15;Nordlandsbanen: Bodø - Fauske - Mo i Rana - Mosjøen - Grong
16;Ofotbanen; Narvik - Bjørnfjell - Vassijaure
17;Drammen - Hokksund - Kongsberg - Hjuksebø - Nordagutu - Neslandsvatn
18;Nordagutu - Neslandsvatn - Nelaug - Kristiansand
19;Kristiansand - Sira - Egersund - Vigrestad - Bryne - Sandnes - Stavanger
20;Hokksund - Hønefoss
21;Drammen - Tønsberg - Sandefjord - Larvik - Porsgrunn - Skien - Nordagutu
21b;Tinnoset - Notodden - Hjuksebø
21c;Myrane - Ørvik - Brevik s.sp
22;Arendal - Nelaug
99;Gardermobanen: Eisdvoll - Gardermoen - Lillestrøm - Oslo S
